#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
14, 7.638577e-02, 1.021637e+01, 1.235711e-03, 1.931235e-18, -2.177141e-01, 1.111066e+02, 7.714371e-01, 1.578241e-01, 5.223407e+00, 1.409902e-02, -5.362271e-01, -1.848438e-05, -1.752998e-14, 9.801188e-17, 6.954101e+01, -3.213643e-18, 4.716279e-18, 6.079389e-03, -2.056596e-18, -2.583112e-17, -3.794708e-18, 2.592673e+00, 8.776013e-01, 3.968062e-01, 2.273758e+00, 6.724031e+00, 1.460953e-03, -5.356008e-01, 7.706921e-01, -1.778471e-05, 1.576607e-01, 3.826192e+00
15, 9.130893e-02, 1.114164e+01, 1.300595e-03, 1.782157e-18, -2.780894e-01, 1.306810e+02, 8.643767e-01, 2.181436e-01, 5.347954e+00, 1.564977e-02, -6.100308e-01, -2.965987e-05, -1.912007e-14, 8.760354e-17, 5.359531e+01, -1.568705e-18, -5.637851e-18, 3.845311e-04, -2.832478e-18, -2.894820e-17, -1.181780e-17, 2.556246e+00, 9.289783e-01, 4.665643e-01, 2.294434e+00, 6.536475e+00, 1.141675e-03, -6.093059e-01, 8.635483e-01, -2.867474e-05, 2.179173e-01, 3.808970e+00
16, 1.086783e-01, 1.196073e+01, 1.267084e-03, 1.111307e-18, -3.492636e-01, 1.491667e+02, 9.448013e-01, 2.892560e-01, 5.472317e+00, 1.595484e-02, -6.646142e-01, -5.165518e-05, -2.052579e-14, 6.591949e-17, 4.049125e+01, 1.578869e-18, -4.987330e-18, -6.090099e-03, -2.053208e-18, -3.171291e-17, -1.539567e-17, 2.469365e+00, 9.712461e-01, 5.373004e-01, 2.311715e+00, 6.099870e+00, 7.843194e-04, -6.638127e-01, 9.439007e-01, -5.028952e-05, 2.889553e-01, 3.666363e+00
17, 1.288356e-01, 1.267312e+01, 1.092038e-03, 1.057097e-18, -4.281871e-01, 1.661328e+02, 1.008768e+00, 3.681182e-01, 5.582163e+00, 1.434900e-02, -6.997807e-01, -8.578339e-05, -2.177327e-14, 6.765422e-17, 3.030453e+01, 8.937892e-18, -9.649399e-18, -1.201785e-02, -2.156546e-18, -3.263449e-17, -7.806256e-18, 2.348526e+00, 1.003596e+00, 6.061717e-01, 2.322174e+00, 5.517684e+00, 4.984209e-04, -6.989293e-01, 1.007811e+00, -8.338449e-05, 3.677355e-01, 3.446615e+00
18, 1.521493e-01, 1.328849e+01, 7.629488e-04, 1.301043e-18, -5.096130e-01, 1.814732e+02, 1.055836e+00, 4.494942e-01, 5.659598e+00, 1.060125e-02, -7.174084e-01, -1.498405e-04, -2.284013e-14, 5.551115e-17, 2.273414e+01, 1.385746e-17, -3.957338e-18, -1.425673e-02, -1.741500e-18, -2.867715e-17, -5.095750e-18, 2.209331e+00, 1.026751e+00, 6.698576e-01, 2.322422e+00, 4.883199e+00, 4.521154e-04, -7.165342e-01, 1.054835e+00, -1.450336e-04, 4.490271e-01, 3.193531e+00
19, 1.790077e-01, 1.382273e+01, 3.972490e-04, 5.149960e-19, -5.864398e-01, 1.953386e+02, 1.087018e+00, 5.262948e-01, 5.685632e+00, 6.108747e-03, -7.200743e-01, -2.051499e-04, -2.373633e-14, 5.551115e-17, 1.731271e+01, 1.350171e-17, -1.856696e-18, -1.117959e-02, 1.389134e-19, -3.176712e-17, -3.523657e-18, 2.064826e+00, 1.041809e+00, 7.248491e-01, 2.309907e+00, 4.265458e+00, 5.984842e-04, -7.191991e-01, 1.085993e+00, -1.981870e-04, 5.257480e-01, 2.938600e+00
20, 2.098103e-01, 1.429461e+01, 1.427366e-04, 1.029992e-18, -6.507901e-01, 2.080469e+02, 1.102686e+00, 5.906504e-01, 5.643925e+00, 2.811740e-03, -7.103134e-01, -3.080870e-04, -2.455501e-14, 3.686287e-17, 1.354042e+01, -2.642743e-19, -4.336809e-18, -4.065357e-03, 4.736608e-18, -2.461139e-17, 1.138412e-18, 1.924747e+00, 1.049297e+00, 7.679041e-01, 2.283565e+00, 3.706480e+00, 7.484893e-04, -7.094547e-01, 1.101657e+00, -3.028603e-04, 5.900369e-01, 2.699087e+00
21, 2.449539e-01, 1.472270e+01, 1.461412e-04, 1.504331e-18, -6.958577e-01, 2.199833e+02, 1.100513e+00, 6.357541e-01, 5.526052e+00, 2.785577e-03, -6.900836e-01, -2.889198e-04, -2.530560e-14, 2.992398e-17, 1.095448e+01, -1.127570e-17, -7.860466e-19, 7.816331e-04, 1.126893e-17, -1.951564e-17, 6.071532e-18, 1.794388e+00, 1.048265e+00, 7.966935e-01, 2.244219e+00, 3.221540e+00, 6.225921e-04, -6.892556e-01, 1.099484e+00, -2.881750e-04, 6.350942e-01, 2.478059e+00
22, 2.848143e-01, 1.512271e+01, 1.983914e-04, 1.599198e-18, -7.176538e-01, 2.315108e+02, 1.077968e+00, 6.576084e-01, 5.334702e+00, 3.119416e-03, -6.613021e-01, -1.486253e-04, -2.598160e-14, 4.206704e-17, 9.169194e+00, -6.884684e-18, 7.589415e-19, -2.056340e-04, 1.157386e-17, -1.111307e-17, -1.105886e-17, 1.676140e+00, 1.037468e+00, 8.102756e-01, 2.194270e+00, 2.810992e+00, 1.259731e-04, -6.605274e-01, 1.076944e+00, -1.503897e-04, 6.569266e-01, 2.272431e+00
23, 3.297231e-01, 1.550607e+01, 1.066520e-04, 1.355253e-18, -7.162801e-01, 2.429051e+02, 1.033319e+00, 6.563017e-01, 5.083059e+00, 1.142605e-03, -6.248290e-01, -7.405617e-06, -2.662584e-14, 3.317659e-17, 7.902280e+00, 2.822314e-18, -2.846031e-18, -1.211878e-03, 8.165398e-18, -6.722053e-18, 1.211596e-17, 1.569260e+00, 1.015744e+00, 8.094761e-01, 2.136738e+00, 2.463943e+00, -5.003932e-04, -6.241344e-01, 1.032313e+00, -3.718938e-06, 6.556270e-01, 2.075942e+00
