#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
45, 1.790190e+00, -1.686316e-03, 1.909388e-05, 5.956087e-04, 1.228407e-04, -2.281370e-05, 5.087943e-04, 1.922319e+01, -1.355398e-02, 7.992433e+00, 1.295317e-04, -1.176859e-02, -5.662653e-04, 1.863049e+00, 3.559304e-03, -6.098335e-01, -1.444240e-01, 5.547832e-03, -5.468933e-01, -8.673617e-17, 8.868774e-17, 2.471930e-01, 2.905662e-17, 1.200830e-02, -1.242282e-01, 7.417251e-01, -2.167052e-03, -4.215393e-02, -9.982458e-02, -7.321089e-04, -1.361668e-01, -7.557224e+00, -7.758064e-04, -5.515135e+00, 4.149206e+00, -7.253948e-03, 3.293315e+00, 8.460952e+00, -1.011662e-03, 1.019313e+00, 2.865220e+00, 1.469433e-04, 1.575337e+00, 5.811478e+00, -1.194497e-02, 1.052594e+00, 1.039744e+00, -2.322649e-03, 9.096145e-01
46, 1.820992e+00, -3.746873e-04, -2.607047e-04, 9.336257e-04, 2.173838e-04, -7.573967e-05, 3.377464e-04, 2.492642e+01, -1.517114e-02, 9.106914e+00, -2.838145e-05, -1.216415e-02, -5.004911e-04, 1.998854e-01, 3.141845e-03, -1.076244e+00, -1.936297e-01, 3.153449e-03, -3.579334e-01, -3.108950e-17, 7.979728e-17, 1.038454e+00, 4.054916e-17, 2.672634e-02, -3.738138e-01, 9.297474e-01, 5.037139e-04, -8.120451e-02, -1.329887e-01, 1.220426e-05, -1.487044e-01, -8.257263e+00, 1.540416e-03, -6.625139e+00, 4.640806e+00, -1.953238e-02, 3.512432e+00, 1.076495e+01, -2.991948e-04, 1.042825e+00, 3.194882e+00, 2.386366e-04, 1.606912e+00, 7.034214e+00, -9.425269e-03, 1.319022e+00, 1.119060e+00, -1.967432e-03, 1.024230e+00
47, 1.847851e+00, 2.779574e-03, -2.048050e-04, 1.241309e-03, 4.585917e-04, -4.329731e-05, 3.606543e-05, 3.260343e+01, -1.343675e-02, 1.021324e+01, 1.423290e-04, -9.506239e-03, -3.258901e-04, -3.038949e+00, 9.204007e-03, -1.565845e+00, -2.181278e-01, 3.335112e-03, -1.667691e-02, -6.418477e-17, 8.239937e-17, 1.975757e+00, 2.515349e-17, 2.395720e-02, -6.473674e-01, 9.353955e-01, -1.652378e-03, -1.458000e-01, -1.912708e-01, 3.752499e-04, -1.401429e-01, -8.717714e+00, 3.863736e-03, -7.880652e+00, 5.136498e+00, -1.637331e-02, 3.476104e+00, 1.352453e+01, 5.668863e-05, 1.014736e+00, 3.503932e+00, 4.736985e-04, 1.588393e+00, 8.254851e+00, -1.873270e-03, 1.580724e+00, 1.222851e+00, 1.357606e-03, 1.083161e+00
48, 1.871164e+00, 6.483183e-03, -7.165310e-05, 1.367845e-03, 5.329338e-04, 1.393809e-05, -2.882233e-04, 4.237218e+01, -1.065908e-02, 1.114866e+01, 2.249076e-04, -6.532412e-03, -7.492164e-05, -7.848662e+00, 1.047906e-02, -1.924264e+00, -2.144327e-01, 2.339506e-03, 3.782105e-01, 1.946143e-17, 4.553649e-17, 2.897248e+00, -3.415237e-17, 1.275501e-02, -8.378326e-01, 4.254708e-01, -3.079874e-03, -2.540331e-01, -2.927823e-01, -6.118431e-04, -1.083330e-01, -8.912306e+00, 5.629244e-03, -9.142921e+00, 5.620092e+00, -6.587340e-03, 3.155207e+00, 1.666312e+01, -2.702674e-04, 9.391245e-01, 3.772052e+00, 4.666981e-04, 1.523644e+00, 9.367081e+00, 2.711263e-03, 1.784193e+00, 1.340517e+00, 8.822830e-04, 1.063821e+00
49, 1.891322e+00, 1.035994e-02, 1.019290e-04, 1.331416e-03, 4.017243e-04, 4.231089e-05, -5.383262e-04, 5.376152e+01, -7.073839e-03, 1.170587e+01, 1.557391e-04, -3.019188e-03, 1.645887e-04, -1.354147e+01, 5.154585e-03, -1.988093e+00, -1.989668e-01, -9.370447e-04, 7.098352e-01, 3.991219e-18, -1.994932e-17, 3.584191e+00, -5.009014e-17, -7.703419e-04, -8.614618e-01, -1.124597e+00, -1.812328e-04, -4.165250e-01, -4.261335e-01, -4.196650e-04, -5.420672e-02, -8.841804e+00, 6.999121e-03, -1.018012e+01, 6.046757e+00, 6.111372e-03, 2.587539e+00, 1.998439e+01, -5.713366e-04, 8.369055e-01, 3.977383e+00, 4.061365e-04, 1.419604e+00, 1.025890e+01, 5.368042e-03, 1.867088e+00, 1.444027e+00, 5.166852e-04, 9.628040e-01
50, 1.908691e+00, 1.379045e-02, 2.251893e-04, 1.089136e-03, 1.974842e-04, 3.687967e-05, -6.746434e-04, 6.530467e+01, -3.496092e-03, 1.168773e+01, -9.010154e-06, -8.054011e-05, 3.329242e-04, -1.846662e+01, -1.310888e-04, -1.621531e+00, -1.974655e-01, -2.139885e-03, 8.994824e-01, -4.251428e-17, -1.431147e-17, 3.801897e+00, -4.488597e-17, -1.302691e-02, -6.919909e-01, -4.361616e+00, -7.968270e-04, -6.214451e-01, -5.468101e-01, 4.130885e-04, 1.799386e-02, -8.519743e+00, 7.417062e-03, -1.070970e+01, 6.347247e+00, 1.721875e-02, 1.858558e+00, 2.316009e+01, -2.492878e-03, 7.451843e-01, 4.098074e+00, 3.517065e-04, 1.285774e+00, 1.078281e+01, 5.260743e-03, 1.790680e+00, 1.504691e+00, 1.995918e-03, 7.992767e-01
51, 1.923614e+00, 1.498081e-02, 2.441519e-04, 5.245517e-04, 4.874982e-05, 3.157867e-05, -6.898723e-04, 7.446640e+01, -2.436586e-03, 1.097488e+01, -1.636076e-04, 1.053308e-03, 4.154090e-04, -2.022656e+01, -3.267846e-03, -7.927831e-01, -2.278560e-01, -2.495634e-03, 9.362155e-01, -2.905662e-17, -1.821460e-17, 3.384581e+00, -5.941428e-17, -1.910698e-02, -3.678766e-01, -9.731830e+00, -1.300482e-03, -8.169365e-01, -6.133427e-01, 9.863053e-04, 1.016409e-01, -7.961024e+00, 6.595417e-03, -1.048964e+01, 6.445236e+00, 2.176325e-02, 1.070525e+00, 2.578247e+01, -4.773088e-03, 7.106757e-01, 4.107570e+00, 1.921814e-04, 1.134416e+00, 1.074954e+01, 4.119438e-03, 1.548903e+00, 1.496255e+00, 1.976490e-03, 6.071933e-01
52, 1.936403e+00, 1.232302e-02, 1.640943e-04, -2.960052e-04, 3.391964e-05, 3.302520e-05, -6.220946e-04, 7.824374e+01, -3.984849e-03, 9.590575e+00, -2.652487e-04, 9.513097e-04, 4.145117e-04, -1.677468e+01, -5.984311e-03, 3.447750e-01, -2.923319e-01, -2.770130e-03, 8.542130e-01, 7.860466e-18, 3.035766e-18, 2.338893e+00, -6.548581e-17, -1.812888e-02, 5.348831e-02, -1.673162e+01, 1.962579e-03, -8.880708e-01, -6.201927e-01, 8.628762e-04, 1.903089e-01, -7.185414e+00, 4.826471e-03, -9.428670e+00, 6.301698e+00, 2.005722e-02, 3.006249e-01, 2.758919e+01, -4.861753e-03, 7.809875e-01, 3.981181e+00, -5.033830e-05, 9.803577e-01, 9.950515e+00, 1.517549e-03, 1.176811e+00, 1.407693e+00, 9.897172e-04, 4.193140e-01
53, 1.947340e+00, 5.947643e-03, 8.005550e-05, -1.099965e-03, 1.093500e-04, 3.467297e-05, -5.081165e-04, 7.456528e+01, -5.600499e-03, 7.725350e+00, -3.360773e-04, 5.126011e-04, 3.548610e-04, -8.116850e+00, -9.196044e-03, 1.465821e+00, -3.659709e-01, -3.212425e-03, 7.040928e-01, 2.260562e-17, 2.385245e-17, 9.341364e-01, -4.911436e-17, -1.362207e-02, 5.352878e-01, -2.314732e+01, 6.346018e-03, -6.961570e-01, -6.149589e-01, 5.606192e-04, 2.779192e-01, -6.230603e+00, 3.480159e-03, -7.705814e+00, 5.944035e+00, 1.532474e-02, -4.207131e-01, 2.880500e+01, -3.352256e-03, 9.827566e-01, 3.715170e+00, -2.778797e-04, 8.375503e-01, 8.259564e+00, -1.698165e-03, 7.416796e-01, 1.247490e+00, -1.933345e-04, 2.598993e-01
54, 1.956676e+00, -1.946340e-03, 4.078823e-05, -1.613831e-03, 1.851146e-04, 3.050002e-05, -3.785671e-04, 6.373876e+01, -5.480162e-03, 5.692691e+00, -3.820738e-04, 1.699796e-04, 7.406349e-04, 2.895303e+00, -1.058428e-02, 2.211631e+00, -4.121343e-01, -3.411031e-03, 5.307768e-01, 1.612751e-17, 2.775558e-17, -3.513628e-01, -4.911436e-17, -8.336375e-03, 1.066932e+00, -2.537940e+01, 7.016116e-03, -1.708999e-01, -6.489047e-01, 8.844025e-05, 3.572977e-01, -5.158224e+00, 2.797653e-03, -5.761542e+00, 5.456240e+00, 9.970384e-03, -1.100551e+00, 3.023273e+01, -2.358482e-03, 1.295855e+00, 3.354983e+00, -4.787848e-04, 7.144036e-01, 5.865657e+00, -3.932976e-03, 3.262753e-01, 1.039651e+00, -1.070317e-03, 1.411706e-01
