#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
52, 1.936403e+00, 9.197970e+00, 1.309338e-04, 6.505213e-19, -1.325274e-01, 9.118170e+01, 6.720678e-01, 1.094692e-01, 4.900832e+00, 9.700700e-04, 4.466865e-01, -8.832114e-05, -1.581076e-14, 1.409463e-16, -8.767376e+01, -4.231777e-18, 1.951564e-17, -8.865286e-03, 2.883088e-18, 6.017322e-18, -2.732189e-17, 2.563597e+00, 8.193004e-01, 3.305524e-01, 2.208933e+00, 6.573517e+00, -2.386179e-04, 4.463425e-01, 6.715935e-01, -8.885336e-05, 1.093906e-01, 3.677251e+00
53, 1.947340e+00, 8.118604e+00, 3.684255e-05, 5.692061e-19, -9.550798e-02, 7.197393e+01, 5.729937e-01, 7.244973e-02, 4.802994e+00, -8.059758e-05, 3.497430e-01, -7.251701e-05, -1.395504e-14, 1.535230e-16, -1.066940e+02, -2.503829e-18, 1.767250e-17, -7.272806e-03, 2.161205e-18, 3.035766e-18, -1.973248e-17, 2.460813e+00, 7.564941e-01, 2.688757e-01, 2.188634e+00, 6.057159e+00, -3.789081e-04, 3.494775e-01, 5.725917e-01, -7.310284e-05, 7.239804e-02, 3.351075e+00
54, 1.956676e+00, 7.018012e+00, -1.705477e-05, 3.693064e-19, -6.861868e-02, 5.448124e+01, 4.780061e-01, 4.556042e-02, 4.722072e+00, -5.156275e-04, 2.551986e-01, -4.967374e-05, -1.207769e-14, 1.192622e-16, -1.249672e+02, -1.551764e-18, 1.680513e-17, -4.304272e-03, 1.367535e-18, 1.653408e-18, -4.054916e-17, 2.285343e+00, 6.909400e-01, 2.131793e-01, 2.171112e+00, 5.224441e+00, -3.911970e-04, 2.550070e-01, 4.776721e-01, -5.016526e-05, 4.552805e-02, 2.873821e+00
55, 1.964632e+00, 5.940718e+00, -3.781724e-05, 3.964114e-19, -5.010318e-02, 3.949798e+01, 3.890632e-01, 2.704492e-02, 4.658476e+00, -5.465013e-04, 1.725211e-01, -2.917205e-05, -1.022132e-14, 9.324139e-17, -1.409620e+02, -2.964615e-19, 1.431147e-17, -1.575606e-03, 5.724884e-19, 1.477225e-18, 1.029992e-17, 2.049568e+00, 6.233409e-01, 1.642054e-01, 2.156947e+00, 4.202423e+00, -3.153223e-04, 1.723925e-01, 3.887921e-01, -2.952857e-05, 2.702576e-02, 2.309120e+00
56, 1.971403e+00, 4.925667e+00, -3.975021e-05, 2.405574e-19, -3.808586e-02, 2.741554e+01, 3.070678e-01, 1.502760e-02, 4.611188e+00, -4.187499e-04, 1.076133e-01, -1.523163e-05, -8.472932e-15, 9.410875e-17, -1.537118e+02, -7.538593e-20, 1.444699e-17, 2.003176e-04, 1.919588e-19, 1.436568e-18, -1.653408e-17, 1.774588e+00, 5.537625e-01, 1.223656e-01, 2.146222e+00, 3.150798e+00, -2.164992e-04, 1.075336e-01, 3.068542e-01, -1.546279e-05, 1.501697e-02, 1.736335e+00
57, 1.977160e+00, 3.999893e+00, -3.412624e-05, 1.660185e-19, -3.079165e-02, 1.820643e+01, 2.330312e-01, 7.733388e-03, 4.578217e+00, -2.768634e-04, 6.173211e-02, -7.334036e-06, -6.877880e-15, 5.464379e-17, -1.629995e+02, -2.346281e-19, 1.349832e-17, 1.061179e-03, -1.147730e-19, 4.641741e-19, -1.246832e-17, 1.484612e+00, 4.823958e-01, 8.775188e-02, 2.138657e+00, 2.205524e+00, -1.350234e-04, 6.168656e-02, 2.328693e-01, -7.469771e-06, 7.727923e-03, 1.223060e+00
58, 1.982048e+00, 3.176825e+00, -2.684622e-05, 1.096908e-19, -2.669176e-02, 1.153704e+01, 1.683563e-01, 3.633501e-03, 4.557019e+00, -1.688810e-04, 3.242531e-02, -3.317817e-06, -5.462021e-15, 4.922278e-17, -1.692288e+02, 4.904321e-19, 1.027282e-17, 1.345985e-03, -1.865061e-19, 4.895850e-19, -1.523304e-17, 1.201051e+00, 4.100162e-01, 6.013045e-02, 2.133759e+00, 1.443679e+00, -7.971097e-05, 3.240145e-02, 1.682394e-01, -3.390428e-06, 3.630936e-03, 8.077747e-01
59, 1.986197e+00, 2.458438e+00, -2.016207e-05, 7.115077e-20, -2.458479e-02, 6.926754e+00, 1.143666e-01, 1.526528e-03, 4.544923e+00, -9.712177e-05, 1.546142e-02, -1.411604e-06, -4.229649e-15, 3.664603e-17, -1.731228e+02, 2.786738e-19, 9.324139e-18, 1.356866e-03, -1.424868e-19, 3.854000e-19, -1.105886e-17, 9.387850e-01, 3.379297e-01, 3.896429e-02, 2.130953e+00, 8.821353e-01, -4.501475e-05, 1.545006e-02, 1.142872e-01, -1.446905e-06, 1.525450e-03, 4.989740e-01
60, 1.989715e+00, 1.839093e+00, -1.462011e-05, 3.599890e-20, -2.361290e-02, 3.880829e+00, 7.173414e-02, 5.546339e-04, 4.539487e+00, -5.238511e-05, 6.570111e-03, -5.576480e-07, -3.163316e-15, 3.230922e-17, -1.754346e+02, 3.955644e-19, 6.423898e-18, 1.272232e-03, -8.332687e-20, 1.778769e-19, -7.860466e-18, 7.054518e-01, 2.676277e-01, 2.348210e-02, 2.129691e+00, 4.981706e-01, -2.400033e-05, 6.565287e-03, 7.168433e-02, -5.730108e-07, 5.542425e-04, 2.852046e-01
61, 1.992697e+00, 1.309213e+00, -1.015120e-05, 1.588187e-20, -2.322258e-02, 1.967459e+00, 4.024402e-02, 1.643173e-04, 4.538678e+00, -2.578155e-05, 2.391759e-03, -1.967421e-07, -2.252877e-15, 1.908196e-17, -1.767757e+02, 1.558541e-19, 5.163513e-18, 1.175961e-03, -3.771282e-20, 1.024910e-19, -6.261268e-18, 5.029387e-01, 2.004525e-01, 1.278004e-02, 2.129506e+00, 2.532190e-01, -1.171050e-05, 2.390003e-03, 4.021608e-02, -2.025070e-07, 1.642013e-04, 1.467996e-01
62, 1.995222e+00, 8.579172e-01, -6.538904e-06, 9.899698e-21, -2.309361e-02, 8.448800e-01, 1.891299e-02, 3.534206e-05, 4.540912e+00, -1.084328e-05, 6.837278e-04, -5.640145e-08, -1.476351e-15, 1.328148e-17, -1.775676e+02, 1.298078e-19, 3.415237e-18, 1.098855e-03, -1.444175e-20, 2.498747e-20, -3.726945e-18, 3.296257e-01, 1.374152e-01, 5.926782e-03, 2.130031e+00, 1.087718e-01, -4.893103e-06, 6.832256e-04, 1.889986e-02, -5.811228e-08, 3.531712e-05, 6.385351e-02
63, 1.997361e+00, 4.745351e-01, -3.580280e-06, 4.817500e-21, -2.306248e-02, 2.584799e-01, 6.276187e-03, 4.216830e-06, 4.545006e+00, -3.273368e-06, 1.232592e-04, -1.043243e-08, -8.167532e-16, 8.619407e-18, -1.780683e+02, 5.706884e-20, 1.795710e-18, 1.047181e-03, -4.617322e-21, 1.630538e-20, -1.287490e-18, 1.823013e-01, 7.915853e-02, 2.047198e-03, 2.130990e+00, 3.326999e-02, -1.469635e-06, 1.231687e-04, 6.271829e-03, -1.075472e-08, 4.213854e-06, 1.977302e-02
64, 1.999170e+00, 1.493183e-01, -1.121161e-06, 1.608039e-21, -2.305840e-02, 2.559389e-02, 6.772388e-04, 1.404559e-07, 4.550109e+00, -3.213198e-07, 6.672200e-06, -5.928910e-10, -2.568551e-16, 2.520770e-18, -1.784349e+02, 1.582893e-20, 6.437450e-19, 1.047045e-03, -2.308477e-09, -5.686051e-08, -1.971893e-18, 5.737394e-02, 2.600254e-02, 3.736223e-04, 2.132185e+00, 3.295318e-03, -1.435311e-07, 6.667294e-06, 6.767686e-04, -6.116630e-10, 1.403568e-07, 1.986113e-03
