#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
16, 1.086783e-01, 1.195821e+01, 1.925234e-04, 1.707618e-18, -3.127568e-01, 1.490889e+02, 9.444059e-01, 2.896985e-01, 5.257155e+00, 1.045396e-03, -6.650867e-01, -5.142447e-05, -2.053360e-14, -8.673617e-19, 4.046079e+01, 6.239245e-18, 1.268517e-17, 3.863362e-03, 3.965808e-18, -8.673617e-19, -2.417771e-17, 2.466328e+00, 9.712534e-01, 5.378576e-01, 2.270419e+00, 6.084208e+00, -1.241342e-03, -6.644852e-01, 9.437387e-01, -5.016073e-05, 2.894800e-01, 3.658713e+00
17, 1.288356e-01, 1.267003e+01, 2.955443e-04, 1.477225e-18, -3.917108e-01, 1.660384e+02, 1.008730e+00, 3.686526e-01, 5.363754e+00, 2.359073e-03, -7.003358e-01, -5.141560e-05, -2.174237e-14, 7.806256e-18, 3.028367e+01, -7.772374e-18, 1.122149e-17, 6.773251e-03, 5.764906e-18, 3.089976e-18, -2.298509e-17, 2.345639e+00, 1.003794e+00, 6.067645e-01, 2.281614e+00, 5.503459e+00, -1.365562e-03, -6.996878e-01, 1.008024e+00, -5.074557e-05, 3.683725e-01, 3.439928e+00
18, 1.521493e-01, 1.328505e+01, 4.870485e-04, 8.131516e-19, -4.731678e-01, 1.813686e+02, 1.056767e+00, 4.501096e-01, 5.437677e+00, 5.048328e-03, -7.179040e-01, -4.393015e-05, -2.279774e-14, 3.295975e-17, 2.272875e+01, -1.418272e-17, 8.185726e-18, 8.135405e-03, 6.156235e-18, 4.119968e-18, -2.049142e-17, 2.206765e+00, 1.027426e+00, 6.704749e-01, 2.282385e+00, 4.871227e+00, -1.403440e-03, -7.172304e-01, 1.056040e+00, -4.483521e-05, 4.497653e-01, 3.188516e+00
19, 1.790077e-01, 1.381937e+01, 6.994588e-04, 3.794708e-19, -5.500226e-01, 1.952352e+02, 1.089051e+00, 5.269644e-01, 5.459913e+00, 8.612125e-03, -7.203861e-01, -7.285858e-05, -2.374630e-14, 6.938894e-18, 1.731828e+01, -1.625626e-17, 5.908902e-18, 7.458324e-03, 7.054090e-18, 4.119968e-18, -8.890458e-18, 2.062708e+00, 1.043007e+00, 7.254738e-01, 2.270023e+00, 4.256128e+00, -1.044673e-03, -7.197091e-01, 1.088311e+00, -7.501518e-05, 5.265595e-01, 2.935499e+00
20, 2.098103e-01, 1.429152e+01, 9.036788e-04, 1.084202e-19, -6.143553e-01, 2.079503e+02, 1.104867e+00, 5.912971e-01, 5.414749e+00, 1.278596e-02, -7.104500e-01, -1.278419e-04, -2.453051e-14, 1.257675e-17, 1.355060e+01, -1.395402e-17, 3.198396e-18, 6.397786e-03, 7.324294e-18, -2.710505e-19, -2.818926e-18, 1.922984e+00, 1.050553e+00, 7.684919e-01, 2.243464e+00, 3.699157e+00, -1.335010e-04, -7.097828e-01, 1.104110e+00, -1.296430e-04, 5.908430e-01, 2.697055e+00
21, 2.449539e-01, 1.472002e+01, 1.100975e-03, 4.336809e-19, -6.592999e-01, 2.198987e+02, 1.102246e+00, 6.362416e-01, 5.293910e+00, 1.656300e-02, -6.901985e-01, -7.578622e-05, -2.529043e-14, 1.431147e-17, 1.097009e+01, 3.794708e-18, 0.000000e+00, 4.579926e-03, 4.299539e-18, -2.168404e-19, -2.168404e-19, 1.793116e+00, 1.049296e+00, 7.971713e-01, 2.203481e+00, 3.216482e+00, 3.456784e-04, -6.895589e-01, 1.101466e+00, -7.621844e-05, 6.357552e-01, 2.476851e+00
22, 2.848143e-01, 1.512079e+01, 1.224523e-03, 1.680513e-18, -6.810791e-01, 2.314487e+02, 1.078816e+00, 6.580208e-01, 5.100753e+00, 1.937952e-02, -6.613328e-01, -6.807267e-05, -2.598291e-14, 1.734723e-17, 9.195131e+00, 1.179747e-17, -7.589415e-18, 4.051095e-03, -6.437450e-20, 3.361027e-18, -8.023096e-18, 1.675275e+00, 1.038078e+00, 8.107059e-01, 2.152517e+00, 2.807661e+00, 8.526734e-04, -6.607406e-01, 1.078037e+00, -6.516362e-05, 6.575215e-01, 2.271610e+00
23, 3.297231e-01, 1.550561e+01, 1.423650e-03, 1.029992e-18, -6.797739e-01, 2.428878e+02, 1.034751e+00, 6.567156e-01, 4.849014e+00, 2.284642e-02, -6.247005e-01, -5.124966e-05, -2.665576e-14, 2.298509e-17, 7.931687e+00, -3.028990e-18, -8.158621e-18, 3.786930e-03, -4.943284e-18, 2.818926e-18, 4.228388e-18, 1.568645e+00, 1.016654e+00, 8.099057e-01, 2.093740e+00, 2.461634e+00, 7.671548e-04, -6.241578e-01, 1.033993e+00, -4.325562e-05, 6.562223e-01, 2.075924e+00
24, 3.799401e-01, 1.588122e+01, 1.581256e-03, 1.138412e-18, -6.588551e-01, 2.543781e+02, 9.709388e-01, 6.357969e-01, 4.558703e+00, 2.555371e-02, -5.810009e-01, -8.556821e-05, -2.727918e-14, 1.864828e-17, 6.974152e+00, 7.042232e-18, -8.348357e-18, 2.081042e-03, -7.506406e-18, 6.884684e-18, 2.981556e-18, 1.470430e+00, 9.848148e-01, 7.969064e-01, 2.030231e+00, 2.163048e+00, 4.418661e-04, -5.805048e-01, 9.702375e-01, -7.563606e-05, 6.353245e-01, 1.884305e+00
25, 4.356227e-01, 1.624998e+01, 1.662956e-03, 1.409463e-18, -6.234928e-01, 2.659616e+02, 8.904661e-01, 6.004346e-01, 4.250594e+00, 2.710594e-02, -5.304537e-01, -9.127111e-05, -2.791539e-14, 1.040834e-17, 6.192619e+00, 9.690057e-18, -1.078781e-17, -2.869326e-03, -3.217031e-18, 7.372575e-18, 2.547875e-18, 1.377479e+00, 9.431261e-01, 7.744328e-01, 1.964555e+00, 1.898234e+00, 8.817965e-05, -5.300182e-01, 8.898291e-01, -8.359470e-05, 5.999934e-01, 1.694028e+00
