#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
30, 7.906069e-01, -2.260784e-03, 1.525771e-04, 6.383973e-04, -6.320699e-04, -1.453205e-05, -6.414700e-04, 9.542965e-01, -2.480646e-03, -8.954191e-01, -1.354010e-05, 3.835529e-03, 8.022952e-04, 9.091966e-01, -3.249451e-04, -2.037907e-01, 1.557412e-01, 2.578138e-03, 2.206617e-01, 4.987330e-18, 4.943962e-17, 8.280724e-01, 2.168404e-18, -1.651524e-02, -1.589439e-01, 5.191732e-02, 9.771372e-06, -2.330306e-04, 2.266215e-02, 9.123979e-05, 1.060294e-02, -6.538903e-01, -1.670769e-03, -2.753268e-02, 3.836660e-01, 1.315471e-02, 2.814855e-01, 8.493324e-01, -1.234134e-03, -1.444338e-01, 4.684365e-01, -2.274180e-04, 3.763454e-01, 4.144485e-01, -3.385032e-03, -1.551077e-01, 9.425137e-02, 3.386325e-03, -2.109536e-02
31, 8.731889e-01, -2.818433e-03, 1.107211e-04, 5.267026e-04, -4.694156e-04, -6.941843e-06, -7.247427e-04, 3.667760e-01, -1.206813e-03, -5.274328e-01, 1.459626e-04, 3.652427e-03, 7.867057e-04, 9.916829e-01, -7.616250e-04, -1.376575e-01, 1.665184e-01, -7.200918e-04, 2.433031e-01, -6.830474e-18, 1.734723e-18, 5.682250e-01, 1.138412e-17, 1.800586e-03, -1.318023e-01, 6.766589e-02, 2.369511e-04, -4.074307e-04, 2.457545e-02, 1.573544e-05, 1.180664e-02, -4.332077e-01, -5.262439e-04, -6.606848e-02, 2.820225e-01, -4.690537e-03, 1.669545e-01, 7.035668e-01, -5.480012e-04, -8.406760e-02, 3.816881e-01, -1.392774e-04, 3.271479e-01, 2.921688e-01, -1.820451e-03, -7.980029e-02, 9.204368e-02, 2.043381e-04, -3.537450e-02
32, 9.575304e-01, -3.155190e-03, -5.383563e-06, 1.584090e-04, -6.190545e-04, -2.367469e-05, -7.405244e-04, 4.695709e-02, 1.154764e-03, -1.787543e-01, 4.663085e-04, 1.975668e-03, 7.845976e-04, 1.050448e+00, 1.316620e-03, -4.513801e-02, 1.709924e-01, -7.724679e-04, 2.573010e-01, -9.608742e-18, 3.469447e-18, 2.146571e-01, -9.432559e-18, 1.320807e-02, -1.193755e-01, 7.934930e-02, -8.998122e-04, -2.790039e-04, 2.609560e-02, -1.547646e-05, 1.207427e-02, -3.193451e-01, -2.943502e-04, -4.204753e-02, 2.313870e-01, -1.397555e-02, 1.066958e-01, 6.318605e-01, 2.141474e-05, -2.731521e-02, 3.376028e-01, 4.847050e-05, 3.026257e-01, 2.287036e-01, 1.261191e-03, -2.440500e-02, 9.195756e-02, 3.954557e-04, -4.440503e-02
33, 1.042470e+00, -3.224395e-03, 1.327029e-04, -1.115905e-04, -5.586749e-04, -8.913271e-05, -7.056046e-04, 4.129607e-02, 1.968276e-03, 1.631131e-01, 5.582546e-04, -2.423446e-04, 1.210578e-05, 1.057808e+00, 2.606679e-04, 5.641052e-02, 1.716997e-01, -1.115483e-03, 2.575464e-01, -3.320369e-17, 3.469447e-18, -1.813042e-01, -2.775558e-17, 1.083245e-02, -1.183307e-01, 7.820451e-02, -5.182635e-04, 1.914055e-04, 2.662921e-02, -7.625499e-05, 1.203284e-02, -3.210122e-01, 6.212223e-04, 1.124221e-02, 2.317942e-01, -1.014924e-02, 1.072496e-01, 6.309675e-01, 4.329182e-04, 2.807476e-02, 3.373644e-01, 6.085020e-05, 3.030897e-01, 2.285534e-01, 1.766281e-03, 2.168982e-02, 9.387563e-02, -7.225946e-04, -4.387377e-02
34, 1.126811e+00, -3.313166e-03, 1.709046e-04, -4.308221e-04, -7.418166e-04, -6.835564e-05, -8.263274e-04, 3.502219e-01, 1.222436e-03, 5.213749e-01, 9.075440e-05, -1.116230e-03, 2.060197e-03, 9.995567e-01, -3.813646e-04, 1.468838e-01, 1.682082e-01, -1.124258e-03, 2.424707e-01, -4.580754e-18, 9.540979e-18, -5.426263e-01, 2.168404e-17, 1.313933e-03, -1.301402e-01, 6.883531e-02, -1.318418e-04, 2.974971e-04, 2.467272e-02, -7.228476e-07, 1.152206e-02, -4.351595e-01, 2.854715e-03, 3.962507e-02, 2.823858e-01, -1.437383e-04, 1.682408e-01, 7.029058e-01, 5.914372e-04, 8.477780e-02, 3.813234e-01, -1.517656e-04, 3.284148e-01, 2.838617e-01, 2.801602e-03, 8.120799e-02, 9.477588e-02, -8.508955e-04, -3.343496e-02
35, 1.209393e+00, -3.700180e-03, 1.514197e-04, -8.346666e-04, -7.933716e-04, 6.099451e-05, -9.301622e-04, 9.400541e-01, 9.579652e-04, 8.939912e-01, -8.520378e-05, 1.610167e-04, 9.936327e-04, 9.113984e-01, -5.604209e-04, 2.101978e-01, 1.556885e-01, -3.430910e-04, 2.192918e-01, 3.366448e-17, 1.257675e-17, -8.161686e-01, 2.428613e-17, 4.831114e-04, -1.563952e-01, 5.158452e-02, 2.054237e-04, 5.333809e-04, 2.257317e-02, 6.343532e-05, 1.034815e-02, -6.556196e-01, 5.162613e-03, 1.260382e-02, 3.837735e-01, 1.092924e-03, 2.822933e-01, 8.497238e-01, 8.529102e-04, 1.452237e-01, 4.687050e-01, -1.473737e-04, 3.782877e-01, 4.013938e-01, 4.761251e-03, 1.567684e-01, 9.403835e-02, 1.543776e-03, -2.082595e-02
36, 1.289149e+00, -4.549664e-03, -1.069252e-04, -1.259631e-03, -6.657421e-04, 7.367875e-05, -1.011275e-03, 1.727183e+00, -1.104909e-03, 1.293547e+00, 2.068784e-05, 9.862850e-04, 9.542175e-04, 8.367776e-01, 1.891704e-03, 2.406518e-01, 1.338452e-01, -3.972368e-04, 1.949736e-01, 2.969359e-17, 5.204170e-17, -1.001920e+00, 2.992398e-17, 7.345959e-03, -1.908968e-01, 4.101611e-02, -2.935198e-04, 2.768567e-04, 1.815332e-02, -1.135093e-04, 8.813152e-03, -9.646634e-01, 5.804885e-03, -6.869213e-02, 5.363641e-01, -6.209434e-03, 4.348820e-01, 1.076133e+00, 1.122519e-03, 2.114751e-01, 5.968189e-01, -1.976914e-04, 4.521905e-01, 5.687306e-01, 5.282567e-03, 2.536476e-01, 9.223021e-02, 1.736076e-03, -2.453157e-03
37, 1.365160e+00, -5.002583e-03, -6.227312e-05, -1.750405e-03, -6.511822e-04, 1.371039e-04, -1.092738e-03, 2.664089e+00, -2.768975e-04, 1.725854e+00, -1.252473e-04, 3.335675e-03, 9.260158e-04, 8.201721e-01, -9.980626e-04, 2.493827e-01, 1.056616e-01, -2.879435e-03, 1.614808e-01, 1.805197e-17, 1.092876e-16, -1.133504e+00, -3.838076e-17, -2.251917e-03, -2.254219e-01, 4.561793e-02, -1.306140e-03, -1.610887e-04, 1.275901e-02, -1.380724e-05, 5.700600e-03, -1.338256e+00, 4.190888e-03, -1.846685e-01, 7.355595e-01, -3.393100e-04, 6.105745e-01, 1.390352e+00, 5.008196e-04, 2.850005e-01, 7.628514e-01, -5.418463e-04, 5.492040e-01, 8.062728e-01, 1.171242e-03, 3.736531e-01, 9.165462e-02, -1.744052e-03, 5.148783e-03
38, 1.436690e+00, -5.300934e-03, 2.550974e-04, -1.865805e-03, -7.660336e-04, 7.010106e-05, -9.516067e-04, 3.722868e+00, 3.213309e-03, 2.199798e+00, -1.881751e-04, 7.242912e-03, 8.554931e-04, 9.022086e-01, -7.169687e-03, 2.447989e-01, 7.599829e-02, -1.612295e-03, 1.109103e-01, 6.711211e-17, 5.637851e-17, -1.231712e+00, -7.155734e-18, -2.263464e-02, -2.509496e-01, 6.550743e-02, 1.955692e-04, -4.197469e-04, 7.325745e-03, -1.396477e-04, 9.219707e-04, -1.755155e+00, 2.137121e-03, -3.126082e-01, 9.650336e-01, 1.548925e-02, 8.070467e-01, 1.816252e+00, 3.412218e-04, 3.684210e-01, 9.641539e-01, -6.270244e-04, 6.678491e-01, 1.124478e+00, -2.220007e-03, 5.333023e-01, 8.478162e-02, -1.097495e-03, 1.887322e-03
39, 1.503207e+00, -5.249975e-03, 9.573437e-05, -1.170258e-03, -1.025717e-03, -6.648404e-05, -4.939016e-04, 4.884565e+00, 5.533569e-03, 2.712568e+00, -4.164387e-04, 9.422007e-03, 5.211326e-04, 1.116849e+00, -1.079656e-02, 2.395101e-01, 4.215998e-02, 2.909591e-04, 4.744288e-02, 5.984796e-17, -6.245005e-17, -1.306925e+00, -2.862294e-17, -3.394998e-02, -2.608590e-01, 9.132928e-02, 4.138139e-03, -1.913270e-03, 6.285705e-04, -2.038877e-04, -6.949105e-03, -2.208547e+00, -4.230457e-04, -4.362741e-01, 1.210515e+00, 1.991331e-02, 1.030492e+00, 2.372448e+00, 4.150986e-05, 4.606948e-01, 1.198136e+00, -7.464637e-04, 8.045193e-01, 1.516999e+00, -1.685139e-03, 7.474409e-01, 5.577698e-02, -3.714643e-03, 6.622334e-03
