#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
37, 1.365160e+00, 1.737910e+01, -9.032504e-04, 3.632077e-18, -6.597012e-01, 1.597662e-03, 3.033469e+02, 5.969425e-01, 4.408122e-01, 3.279175e+00, -1.544617e-02, 3.396361e-01, -2.118449e-04, -2.984505e-14, 3.642919e-17, -3.921458e+00, -1.927169e-17, -7.562310e-18, -9.369456e-03, -1.947668e-17, 1.214306e-17, 4.987330e-18, 1.141961e+00, 7.706425e-01, 6.623011e-01, 1.684531e+00, 1.306800e+00, 2.357202e-04, 3.382181e-01, 5.949772e-01, -2.116052e-04, 4.394713e-01, 1.170624e+00
38, 1.436690e+00, 1.707169e+01, -2.013460e-03, 3.577867e-18, -7.317613e-01, 1.664373e-03, 2.929954e+02, 6.843207e-01, 4.816052e-01, 3.604816e+00, -3.536239e-02, 4.066425e-01, -3.050891e-04, -2.932767e-14, 2.168404e-17, -4.575306e+00, -1.944788e-18, 1.306464e-17, -1.655770e-02, -2.036606e-17, 1.387779e-17, 6.125742e-18, 1.241725e+00, 8.251840e-01, 6.922345e-01, 1.749786e+00, 1.544894e+00, -1.022796e-03, 4.048245e-01, 6.821424e-01, -3.142443e-04, 4.800824e-01, 1.353559e+00
39, 1.503207e+00, 1.674252e+01, -3.223169e-03, 5.285486e-18, -8.031363e-01, 1.707212e-03, 2.821293e+02, 7.701676e-01, 5.200938e-01, 3.954798e+00, -5.597890e-02, 4.686682e-01, -4.839738e-04, -2.877169e-14, 5.464379e-17, -5.228305e+00, 3.089976e-18, 1.062518e-17, -1.868824e-02, -1.922934e-17, 2.038300e-17, -4.716279e-18, 1.343361e+00, 8.754807e-01, 7.193394e-01, 1.816821e+00, 1.807922e+00, -2.066600e-03, 4.664669e-01, 7.677999e-01, -5.008930e-04, 5.183979e-01, 1.547060e+00
40, 1.564377e+00, 1.639885e+01, -4.448068e-03, 4.960225e-18, -8.680067e-01, 1.722202e-03, 2.710322e+02, 8.493471e-01, 5.516973e-01, 4.310073e+00, -7.364560e-02, 5.246393e-01, -7.522692e-04, -2.816811e-14, 4.943962e-17, -5.937063e+00, 1.873637e-17, 2.434034e-17, -1.706758e-02, -1.352881e-17, 2.428613e-17, -1.517883e-17, 1.447456e+00, 9.194491e-01, 7.408596e-01, 1.883147e+00, 2.098855e+00, -8.035028e-04, 5.220980e-01, 8.468506e-01, -7.820532e-04, 5.498574e-01, 1.747782e+00
41, 1.620060e+00, 1.604331e+01, -5.237832e-03, 1.734723e-18, -9.200084e-01, 1.707123e-03, 2.598326e+02, 9.149367e-01, 5.710750e-01, 4.646799e+00, -8.319124e-02, 5.737871e-01, -4.884275e-04, -2.758622e-14, 5.551115e-17, -6.786513e+00, 5.915678e-18, 2.206351e-17, -9.077812e-03, -6.979551e-18, 5.247539e-17, -1.160096e-17, 1.558144e+00, 9.543265e-01, 7.537569e-01, 1.946417e+00, 2.432102e+00, 6.836203e-04, 5.709619e-01, 9.123088e-01, -5.400492e-04, 5.691472e-01, 1.956779e+00
42, 1.670277e+00, 1.567452e+01, -5.383937e-03, 1.870249e-18, -9.531802e-01, 1.662523e-03, 2.485296e+02, 9.633499e-01, 5.729905e-01, 4.936679e+00, -8.377246e-02, 6.159135e-01, -2.141866e-04, -2.692811e-14, 3.469447e-18, -7.881362e+00, 3.367803e-18, 2.168404e-17, 2.427174e-03, -1.629691e-18, 5.442695e-17, -2.341877e-17, 1.679170e+00, 9.792517e-01, 7.550267e-01, 2.003722e+00, 2.824480e+00, 4.591666e-04, 6.128658e-01, 9.605709e-01, -2.630235e-04, 5.710514e-01, 2.178051e+00
43, 1.715186e+00, 1.528769e+01, -4.964678e-03, 1.321371e-18, -9.633833e-01, 1.590790e-03, 2.370195e+02, 9.928219e-01, 5.542799e-01, 5.152688e+00, -7.558483e-02, 6.499837e-01, 5.933399e-05, -2.623303e-14, -1.214306e-17, -9.383547e+00, 2.989687e-17, 2.970714e-17, 1.778361e-02, -4.560425e-18, 4.748806e-17, -4.315125e-17, 1.812125e+00, 9.940986e-01, 7.425985e-01, 2.051863e+00, 3.289237e+00, 1.711002e-04, 6.467745e-01, 9.899484e-01, 2.618233e-05, 5.524069e-01, 2.415796e+00
44, 1.755046e+00, 1.487281e+01, -3.828304e-03, -1.301043e-18, -9.507286e-01, 1.496262e-03, 2.250565e+02, 1.003032e+00, 5.149713e-01, 5.278363e+00, -5.718210e-02, 6.741363e-01, 4.594749e-05, -2.552656e-14, 7.806256e-18, -1.155944e+01, 2.442165e-17, 2.797242e-17, 2.842232e-02, -6.334112e-18, 3.816392e-17, -1.507041e-17, 1.957212e+00, 9.991836e-01, 7.157720e-01, 2.087839e+00, 3.836786e+00, -3.677206e-04, 6.708403e-01, 1.000118e+00, 1.695716e-05, 5.132380e-01, 2.675071e+00
45, 1.790190e+00, 1.441385e+01, -2.797028e-03, -1.978669e-18, -9.192190e-01, 1.383385e-03, 2.122490e+02, 9.962005e-01, 4.585232e-01, 5.316004e+00, -4.134310e-02, 6.868752e-01, -1.050803e-04, -2.475396e-14, -6.071532e-17, -1.476332e+01, 2.039655e-17, 1.864828e-17, 2.397123e-02, -5.303273e-18, 2.298509e-17, -6.895526e-17, 2.112120e+00, 9.957549e-01, 6.753858e-01, 2.110664e+00, 4.467664e+00, -1.088880e-03, 6.835857e-01, 9.932676e-01, -1.283320e-04, 4.569937e-01, 2.958962e+00
46, 1.820992e+00, 1.389157e+01, -2.239061e-03, -3.604972e-18, -8.753994e-01, 1.255616e-03, 1.981675e+02, 9.744142e-01, 3.910099e-01, 5.277629e+00, -3.256230e-02, 6.867161e-01, -1.234972e-04, -2.384464e-14, 1.734723e-18, -1.938577e+01, 1.264451e-17, -3.903128e-18, 1.482583e-02, -5.065257e-18, 1.799776e-17, -1.485357e-17, 2.271388e+00, 9.847666e-01, 6.236563e-01, 2.120085e+00, 5.166120e+00, -1.455031e-03, 6.835250e-01, 9.714724e-01, -1.397149e-04, 3.897228e-01, 3.263658e+00
