#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
36, 1.289149e+00, -1.029489e-03, 1.080183e-04, -2.812888e-04, -2.483378e-04, -3.994969e-05, -3.736555e-04, 1.867376e+00, -2.359523e-03, 1.400332e+00, 2.370486e-04, -1.783915e-03, 3.287486e-04, 6.089724e-01, 2.641183e-03, 1.780436e-01, 1.176452e-01, 1.683418e-03, 1.594370e-01, -3.390842e-17, -5.421011e-18, -4.563512e-01, 6.993104e-18, 7.290100e-03, -3.896742e-02, 2.576799e-02, 3.158483e-04, -1.598227e-04, 1.563760e-02, -1.704988e-05, 8.259737e-03, -7.301240e-01, -5.328047e-04, -4.133906e-01, 4.200094e-01, -6.811682e-03, 2.772515e-01, 8.984941e-01, 3.417389e-04, 1.950970e-01, 5.147848e-01, 2.603876e-04, 3.977447e-01, 8.745282e-01, -3.850539e-04, 5.136581e-01, 3.899291e-02, 1.404324e-04, 8.938499e-03
37, 1.365160e+00, -1.147635e-03, 1.413443e-04, -3.329161e-04, -4.248305e-04, 2.252061e-05, -3.220902e-04, 2.860371e+00, -1.472296e-03, 1.895909e+00, 6.649176e-05, 1.411596e-03, 3.745129e-04, 5.350378e-01, 3.281892e-04, 1.566121e-01, 9.175256e-02, -9.194815e-04, 1.129210e-01, -3.431500e-17, -2.211772e-17, -4.721316e-01, -1.398621e-17, 7.541157e-03, -4.693714e-02, 2.472490e-02, -2.600157e-04, 4.147438e-04, 1.212614e-02, 1.764304e-05, 5.801216e-03, -1.039446e+00, -8.229506e-05, -6.447939e-01, 5.914437e-01, -7.198479e-03, 4.012168e-01, 1.153462e+00, 5.477030e-04, 2.626871e-01, 6.636116e-01, 1.888269e-04, 4.890731e-01, 1.228373e+00, -2.175465e-03, 6.736566e-01, 3.220211e-02, 6.410885e-04, -1.537459e-02
38, 1.436690e+00, -1.225186e-03, 4.605294e-05, -3.952008e-04, -3.824230e-04, 1.336276e-04, -2.298195e-04, 3.973030e+00, -1.887808e-04, 2.445672e+00, 2.607720e-04, 2.321123e-03, 2.694623e-04, 5.619919e-01, -3.154133e-03, 1.399347e-01, 6.678327e-02, -1.663176e-03, 7.534589e-02, -4.481821e-17, 1.192622e-17, -4.822400e-01, -2.840610e-17, 4.523852e-03, -5.352604e-02, 3.259059e-02, -2.390633e-04, -2.240316e-04, 8.654772e-03, -3.815053e-04, 3.116924e-03, -1.395939e+00, -8.536240e-04, -9.023616e-01, 7.933049e-01, -5.396318e-03, 5.414221e-01, 1.484264e+00, 4.131221e-04, 3.392524e-01, 8.442332e-01, 1.267089e-04, 6.017763e-01, 1.688636e+00, -4.894776e-03, 8.619240e-01, 2.515295e-02, -8.563605e-04, -3.491819e-02
39, 1.503207e+00, -2.241560e-03, 1.721988e-04, -5.969801e-04, -3.588244e-04, 2.116431e-04, -1.437578e-04, 5.200698e+00, 2.298455e-03, 3.045294e+00, -2.655960e-04, 2.825309e-03, 2.559679e-04, 6.822546e-01, -4.810210e-03, 1.430251e-01, 5.099107e-02, -2.126013e-03, 4.281585e-02, 8.131516e-19, 4.011548e-18, -5.022604e-01, -1.409463e-17, -4.483334e-03, -5.455173e-02, 4.643924e-02, 2.166557e-03, -7.167268e-04, 3.198656e-03, 3.308365e-04, -1.331446e-03, -1.789065e+00, -7.457840e-04, -1.180903e+00, 1.020296e+00, 2.746192e-03, 6.970568e-01, 1.904057e+00, 7.381742e-04, 4.262323e-01, 1.054589e+00, -1.176544e-04, 7.350566e-01, 2.238512e+00, -2.001355e-03, 1.078804e+00, 1.999021e-02, -8.009979e-04, -5.066734e-02
40, 1.564377e+00, -2.496306e-03, -1.732226e-05, -5.291728e-04, -1.944364e-04, 2.180254e-04, -2.237541e-04, 6.545131e+00, 2.244447e-03, 3.699643e+00, -6.407116e-04, 3.726487e-03, 1.992140e-04, 9.183934e-01, 3.260694e-03, 1.485116e-01, 3.322715e-02, -4.087442e-04, -8.577355e-03, 3.290554e-17, -1.111307e-17, -5.379598e-01, -1.582935e-17, -1.351078e-02, -4.266886e-02, 7.627280e-02, -4.492979e-04, -2.488593e-03, -6.344424e-03, 4.718081e-04, -9.260561e-03, -2.222977e+00, 3.914245e-03, -1.473269e+00, 1.266717e+00, 1.000339e-02, 8.751134e-01, 2.437453e+00, 1.097286e-03, 5.244059e-01, 1.295083e+00, -3.125537e-04, 8.866513e-01, 2.881864e+00, 7.890124e-03, 1.310560e+00, -1.929280e-03, 3.766909e-04, -7.162168e-02
41, 1.620060e+00, -3.033508e-03, -1.286294e-04, -2.914557e-04, -2.182457e-04, 8.670223e-06, -1.133385e-04, 8.077922e+00, 1.981384e-03, 4.412694e+00, -4.659375e-04, 1.639707e-03, 5.360754e-05, 1.292062e+00, 4.745309e-03, 1.399957e-01, 2.371256e-02, -9.464850e-04, -1.036416e-01, -2.493665e-18, -4.662069e-17, -5.694053e-01, -2.081668e-17, -2.128552e-03, -1.412243e-02, 1.223638e-01, -1.868831e-03, -4.157244e-03, -1.835475e-02, 1.159511e-04, -2.363497e-02, -2.703269e+00, 4.942127e-03, -1.782304e+00, 1.531747e+00, 1.163027e-03, 1.086751e+00, 3.120228e+00, 1.834791e-03, 6.317824e-01, 1.565571e+00, -4.717015e-04, 1.050414e+00, 3.671883e+00, 8.093827e-03, 1.565332e+00, -2.871407e-02, 3.066797e-04, -1.048945e-01
42, 1.670277e+00, -4.545067e-03, -2.379137e-04, -2.911180e-04, 2.177943e-04, -2.196472e-04, 3.214382e-04, 9.880254e+00, -4.492169e-04, 5.180838e+00, 8.163634e-06, -3.432887e-03, -5.342030e-04, 1.747041e+00, -2.496081e-03, 9.122687e-02, -1.684696e-04, -4.482690e-03, -2.505587e-01, -8.196568e-17, -1.078781e-16, -5.476367e-01, -3.339343e-17, 8.962545e-03, 2.374163e-02, 2.072068e-01, -1.293384e-03, -7.277904e-03, -3.269454e-02, -2.951298e-04, -4.552237e-02, -3.241968e+00, 4.141879e-03, -2.138907e+00, 1.815505e+00, -7.984431e-03, 1.340522e+00, 3.997675e+00, 1.706475e-03, 7.446363e-01, 1.864486e+00, -4.819008e-04, 1.215962e+00, 4.599403e+00, -1.565364e-03, 1.833898e+00, -8.205312e-02, -6.531045e-03, -1.486354e-01
43, 1.715186e+00, -5.491173e-03, -4.983959e-05, -5.573482e-05, 7.578617e-04, -4.874613e-05, 1.023134e-03, 1.214344e+01, -4.346539e-03, 6.020699e+00, 6.053114e-04, -5.946940e-03, -1.490922e-03, 2.186567e+00, -5.456036e-03, -2.471630e-02, -3.731547e-02, -1.658251e-03, -4.196019e-01, -2.368982e-17, -8.771196e-17, -4.423557e-01, 3.035766e-17, 4.198425e-03, 4.473656e-02, 3.387159e-01, -2.216889e-03, -1.142565e-02, -5.375467e-02, -1.841877e-04, -7.485651e-02, -3.838349e+00, 4.387119e-03, -2.553647e+00, 2.115556e+00, -1.615810e-03, 1.635865e+00, 5.131519e+00, 6.552299e-04, 8.545048e-01, 2.185991e+00, -3.637882e-04, 1.368357e+00, 5.704351e+00, -8.237737e-03, 2.134105e+00, -1.616582e-01, -4.794230e-03, -1.847277e-01
44, 1.755046e+00, -5.298414e-03, -1.587127e-04, 5.380741e-04, 4.108994e-04, -2.183024e-06, 1.442062e-03, 1.511451e+01, -4.233757e-03, 6.941746e+00, 4.549300e-04, -3.505058e-03, -3.807050e-03, 2.350825e+00, -2.245860e-03, -2.499036e-01, -9.501385e-02, -2.355195e-04, -5.506886e-01, -5.510458e-17, -1.561251e-17, -2.124763e-01, 1.127570e-17, 2.963945e-03, 1.673239e-02, 5.220784e-01, 2.167300e-03, -2.137910e-02, -7.501600e-02, -3.552000e-05, -1.077611e-01, -4.456917e+00, 2.784082e-04, -3.056416e+00, 2.429663e+00, -2.006452e-04, 1.943109e+00, 6.591885e+00, -4.096088e-04, 9.509649e-01, 2.521060e+00, -2.621979e-04, 1.491525e+00, 6.943911e+00, -3.465588e-03, 2.450069e+00, -2.613824e-01, -7.484164e-04, -1.953823e-01
45, 1.790190e+00, -3.313449e-03, -2.297935e-04, 1.290406e-03, 2.686165e-04, -6.778319e-07, 1.238872e-03, 1.919818e+01, 7.102988e-04, 7.979600e+00, 2.698872e-04, -4.826172e-04, -9.011353e-04, 1.884011e+00, 3.059894e-03, -5.963748e-01, -1.529329e-01, -4.388052e-03, -5.409145e-01, -1.511107e-16, 1.311885e-17, 1.782065e-01, -3.165870e-17, 9.192120e-03, -8.939668e-02, 7.331157e-01, -4.589508e-05, -4.299518e-02, -9.881663e-02, -1.110624e-04, -1.351798e-01, -5.036932e+00, -2.732112e-03, -3.680296e+00, 2.753177e+00, -5.647967e-03, 2.207346e+00, 8.445510e+00, -1.279875e-03, 1.018941e+00, 2.857989e+00, 8.281324e-05, 1.572613e+00, 8.336177e+00, 2.501854e-03, 2.817909e+00, -3.565609e-01, -1.519713e-03, -1.328981e-01
