#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
35, 1.209393e+00, 1.782561e+01, 1.328889e-03, -2.710505e-19, -1.755388e-01, 3.185830e+02, 4.256463e-01, 3.640591e-01, 1.299168e+00, 2.474718e-02, 1.953192e-01, 7.158182e-05, -3.062340e-14, 8.673617e-18, -2.614194e+00, 7.182839e-19, 1.084202e-18, 8.053440e-03, 9.974660e-18, 2.168404e-19, -6.884684e-18, 9.096283e-01, 6.514385e-01, 6.025115e-01, 1.125844e+00, 8.283593e-01, 1.083395e-03, 1.948788e-01, 4.248078e-01, 6.772575e-05, 3.634047e-01, 8.082859e-01
36, 1.289149e+00, 1.757825e+01, 2.127702e-03, -3.252607e-19, -2.030665e-01, 3.100107e+02, 5.048096e-01, 4.053442e-01, 1.381942e+00, 3.792359e-02, 2.705951e-01, 5.805172e-05, -3.018863e-14, 4.770490e-18, -3.454953e+00, -2.602085e-18, -9.215718e-19, 4.339251e-03, 9.374961e-18, 1.788934e-18, -2.168404e-19, 1.006070e+00, 7.094544e-01, 6.357568e-01, 1.157423e+00, 1.013309e+00, 5.593745e-04, 2.699944e-01, 5.038242e-01, 5.806986e-05, 4.046101e-01, 9.608718e-01
37, 1.365160e+00, 1.728320e+01, 1.983256e-03, 8.673617e-19, -2.351955e-01, 2.999292e+02, 5.969718e-01, 4.535302e-01, 1.483694e+00, 3.464486e-02, 3.421403e-01, 3.038696e-05, -2.971646e-14, -9.974660e-18, -4.185608e+00, -1.287490e-18, -4.174178e-18, -3.318242e-03, 9.290257e-18, 6.288373e-18, 9.866240e-18, 1.102637e+00, 7.715306e-01, 6.724873e-01, 1.194568e+00, 1.217107e+00, 3.974285e-04, 3.414122e-01, 5.958385e-01, 3.065038e-05, 4.527059e-01, 1.132826e+00
38, 1.436690e+00, 1.695581e+01, 1.602084e-03, 7.047314e-19, -2.691187e-01, 2.889357e+02, 6.952742e-01, 5.044071e-01, 1.599569e+00, 2.714573e-02, 4.098780e-01, 1.912010e-05, -2.913110e-14, -1.604619e-17, -4.854419e+00, -6.877908e-18, 2.005774e-18, -4.798910e-03, 5.478609e-18, 1.843144e-18, 6.071532e-18, 1.196235e+00, 8.326398e-01, 7.092086e-01, 1.235079e+00, 1.432427e+00, -2.476740e-06, 4.090151e-01, 6.939716e-01, 2.164128e-05, 5.034887e-01, 1.314944e+00
39, 1.503207e+00, 1.660777e+01, 1.300015e-03, 2.168404e-19, -3.023887e-01, 2.774818e+02, 7.938689e-01, 5.543047e-01, 1.725422e+00, 2.095478e-02, 4.726808e-01, -3.139865e-04, -2.850693e-14, -3.122502e-17, -5.502941e+00, -1.223116e-17, 1.734723e-18, -5.681457e-03, -1.548376e-18, -3.252607e-18, 4.553649e-18, 1.287629e+00, 8.897253e-01, 7.434633e-01, 1.277454e+00, 1.659628e+00, -5.722213e-04, 4.716936e-01, 7.923891e-01, -3.025084e-04, 5.532916e-01, 1.502654e+00
40, 1.564377e+00, 1.624761e+01, 8.843383e-04, 2.276825e-18, -3.323667e-01, 2.658911e+02, 8.867743e-01, 5.992658e-01, 1.857810e+00, 1.471067e-02, 5.299464e-01, -3.783172e-04, -2.792352e-14, -4.510281e-17, -6.185673e+00, -1.166195e-17, 1.084202e-18, -6.377193e-03, -5.725943e-18, -5.421011e-18, 4.987330e-18, 1.378189e+00, 9.403686e-01, 7.730152e-01, 1.320930e+00, 1.901245e+00, 4.282093e-04, 5.288306e-01, 8.851478e-01, -3.678313e-04, 5.981552e-01, 1.692274e+00
41, 1.620060e+00, 1.587925e+01, 5.712081e-04, 2.059984e-18, -3.560363e-01, 2.543219e+02, 9.675979e-01, 6.347669e-01, 1.990864e+00, 1.009159e-02, 5.806419e-01, -1.525936e-04, -2.725424e-14, -7.372575e-17, -6.966209e+00, -1.074715e-17, -1.008308e-17, -1.901340e-03, -2.744387e-18, -1.387779e-17, -4.336809e-18, 1.470975e+00, 9.823092e-01, 7.955665e-01, 1.364256e+00, 2.165860e+00, 1.075716e-03, 5.793838e-01, 9.658684e-01, -1.509395e-04, 6.335695e-01, 1.882649e+00
42, 1.670277e+00, 1.550410e+01, 7.010281e-04, 4.336809e-19, -3.698238e-01, 2.428462e+02, 1.031720e+00, 6.554480e-01, 2.117053e+00, 1.165324e-02, 6.243735e-01, 1.004930e-04, -2.661987e-14, -6.245005e-17, -7.922104e+00, -1.067262e-17, -9.324139e-18, 5.870422e-03, 1.151965e-18, -2.515349e-17, -1.344411e-17, 1.568659e+00, 1.014331e+00, 8.084140e-01, 1.406039e+00, 2.463040e+00, 7.656247e-04, 6.229861e-01, 1.029885e+00, 1.001339e-04, 6.542009e-01, 2.073563e+00
43, 1.715186e+00, 1.511975e+01, 1.154149e-03, 9.215718e-19, -3.704677e-01, 2.314222e+02, 1.076517e+00, 6.564176e-01, 2.228303e+00, 1.749551e-02, 6.606824e-01, 2.081875e-04, -2.594366e-14, -7.632783e-17, -9.190867e+00, -2.218210e-17, -7.480995e-18, 8.837825e-03, 5.705614e-18, -2.710505e-17, -3.252607e-18, 1.675038e+00, 1.036106e+00, 8.090058e-01, 1.444753e+00, 2.808382e+00, -8.399587e-06, 6.591844e-01, 1.074579e+00, 2.113253e-04, 6.551690e-01, 2.269065e+00
44, 1.755046e+00, 1.471889e+01, 1.495302e-03, 1.084202e-19, -3.558528e-01, 2.198713e+02, 1.099902e+00, 6.345027e-01, 2.316239e+00, 2.069020e-02, 6.894190e-01, 2.540539e-04, -2.528219e-14, -7.806256e-17, -1.097518e+01, -9.906897e-18, -6.938894e-18, 5.394953e-03, 4.882298e-18, -2.623769e-17, -7.372575e-18, 1.792991e+00, 1.047297e+00, 7.953837e-01, 1.478342e+00, 3.217723e+00, -1.368371e-03, 6.878450e-01, 1.097930e+00, 2.541051e-04, 6.333048e-01, 2.474479e+00
45, 1.790190e+00, 1.429009e+01, 1.625731e-03, 1.084202e-19, -3.259296e-01, 2.079180e+02, 1.102702e+00, 5.896284e-01, 2.374900e+00, 2.121618e-02, 7.096866e-01, 2.883635e-04, -2.451273e-14, -1.179612e-16, -1.355520e+01, -4.641741e-18, -1.398621e-17, 6.762285e-04, 6.708501e-19, -3.610393e-17, -1.734723e-18, 1.923287e+00, 1.048640e+00, 7.667334e-01, 1.504742e+00, 3.702183e+00, -2.054496e-03, 7.080546e-01, 1.100765e+00, 2.834165e-04, 5.885248e-01, 2.695736e+00
46, 1.820992e+00, 1.381794e+01, 1.608903e-03, -5.149960e-19, -2.832454e-01, 1.952063e+02, 1.087125e+00, 5.256140e-01, 2.402557e+00, 1.959425e-02, 7.195896e-01, 2.993112e-04, -2.373069e-14, -9.367507e-17, -1.731805e+01, -2.744387e-18, -9.215718e-18, -4.099244e-03, -1.402687e-18, -5.149960e-17, -1.181780e-17, 2.063270e+00, 1.041214e+00, 7.238952e-01, 1.522393e+00, 4.260431e+00, -2.664235e-03, 7.179309e-01, 1.085238e+00, 2.888633e-04, 5.246360e-01, 2.935152e+00
47, 1.847851e+00, 1.328365e+01, 1.443080e-03, -7.860466e-19, -2.322132e-01, 1.813430e+02, 1.055234e+00, 4.490779e-01, 2.401711e+00, 1.597126e-02, 7.170766e-01, 1.727630e-04, -2.281595e-14, -1.244664e-16, -2.273160e+01, -6.390017e-18, -8.673617e-18, -9.965993e-03, 6.268044e-19, -5.345117e-17, 1.290201e-17, 2.207240e+00, 1.025821e+00, 6.690862e-01, 1.530688e+00, 4.875395e+00, -3.201748e-03, 7.154398e-01, 1.053407e+00, 1.616246e-04, 4.482464e-01, 3.188524e+00
48, 1.871164e+00, 1.266846e+01, 1.137165e-03, -5.421011e-20, -1.780396e-01, 1.660108e+02, 1.007462e+00, 3.678284e-01, 2.378436e+00, 1.093875e-02, 6.994641e-01, 5.660871e-05, -2.176558e-14, -1.413800e-16, -3.029695e+01, 9.893345e-19, -1.116728e-17, -1.386849e-02, 2.741952e-18, -4.727121e-17, 4.336809e-18, 2.345959e+00, 1.002309e+00, 6.054994e-01, 1.530332e+00, 5.507085e+00, -3.431793e-03, 6.978939e-01, 1.005702e+00, 4.746792e-05, 3.671513e-01, 3.439969e+00
