#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
16, 1.086783e-01, 6.866539e-02, 9.146059e-05, -7.670969e-03, 1.520253e-03, 2.874290e-04, -1.740624e-03, 5.360564e+01, -2.535546e-02, -8.600546e+00, 5.791950e-05, 4.578532e-03, 9.556875e-04, -1.507112e+01, 3.154950e-02, 1.670358e+00, -2.295920e-01, -2.308762e-03, 4.340211e-01, -4.271757e-17, 2.827599e-16, -9.212930e+00, 6.830474e-17, -3.323670e-02, 6.644500e-01, -4.039392e+00, -9.190684e-03, 4.996296e-01, -4.355045e-01, -4.692043e-04, 2.334506e-02, -3.572247e+00, -9.491405e-03, -1.863313e-01, 3.095173e+00, 4.248085e-02, 9.503503e-01, 2.184644e+01, -1.484108e-02, -4.927792e-01, 3.448237e+00, -1.674795e-03, 1.010708e+00, 9.007770e+00, 2.261575e-03, -1.532937e+01, -1.019622e+00, 1.243207e-02, 1.064155e+00
17, 1.288356e-01, 4.730081e-02, 6.397167e-04, -9.000315e-03, 1.706128e-03, 3.396472e-04, -1.139754e-03, 4.395167e+01, -1.900941e-03, -8.611987e+00, 8.179262e-04, -7.944871e-04, 2.308315e-04, -1.069202e+01, 1.289269e-02, 1.886195e+00, -2.520797e-01, -6.053184e-03, 3.086231e-01, -6.526897e-17, 2.359224e-16, -6.522501e+00, -6.071532e-18, -2.708258e-04, 1.120983e-01, -1.070224e+00, -5.347097e-03, 3.494414e-01, -3.204968e-01, 9.377664e-05, -3.412386e-02, -3.958441e+00, -1.884960e-02, 1.410951e-01, 2.968834e+00, 1.983686e-02, 1.490606e+00, 1.933931e+01, -9.424501e-03, -5.967372e-01, 3.383613e+00, -1.547019e-03, 1.145283e+00, 8.844388e+00, -4.420167e-03, -1.215202e+01, -9.882438e-01, 1.401951e-02, 7.332907e-01
18, 1.521493e-01, 2.344419e-02, 7.269377e-04, -8.330141e-03, 1.888412e-03, 2.301954e-04, -1.687451e-04, 3.455194e+01, 1.414555e-02, -8.214925e+00, 2.055020e-03, -7.397799e-03, -7.804866e-04, -5.730810e+00, 7.467489e-04, 1.773986e+00, -2.836526e-01, -5.471709e-03, 7.631746e-02, -5.448116e-17, 3.321995e-16, -4.102035e+00, -7.806256e-17, 2.830674e-02, -2.238329e-01, 4.288857e-01, 2.559312e-03, 2.266333e-01, -2.100347e-01, 3.412360e-04, -8.081166e-02, -4.275758e+00, -2.366111e-02, 2.835581e-01, 2.783624e+00, -3.801736e-03, 1.975494e+00, 1.652405e+01, -4.145588e-03, -7.175110e-01, 3.252493e+00, -9.504104e-04, 1.259293e+00, 8.426764e+00, -2.790847e-03, -9.306941e+00, -9.623896e-01, 1.269695e-02, 4.872620e-01
19, 1.790077e-01, 5.680234e-03, 6.112536e-04, -6.369986e-03, 1.484070e-03, 3.463577e-05, 8.458364e-04, 2.654220e+01, 2.565510e-02, -7.551859e+00, 2.657930e-03, -1.336324e-02, -1.681448e-03, -1.580272e+00, 5.510202e-03, 1.421015e+00, -3.004925e-01, -2.745926e-03, -2.054373e-01, -1.250085e-16, 3.703635e-16, -2.144868e+00, -5.551115e-17, 3.627527e-02, -3.497062e-01, 9.746078e-01, -2.285865e-03, 1.370722e-01, -1.399909e-01, 9.539225e-04, -1.116499e-01, -4.486659e+00, -2.536252e-02, 3.691587e-01, 2.598745e+00, -1.579579e-02, 2.314012e+00, 1.368918e+01, -3.252468e-03, -8.177084e-01, 3.069335e+00, -4.293601e-04, 1.342696e+00, 7.755017e+00, 6.158126e-03, -6.945402e+00, -9.098992e-01, 5.718951e-03, 3.019954e-01
20, 2.098103e-01, -3.897693e-03, 6.954486e-04, -4.255568e-03, 1.098615e-03, -1.163485e-04, 1.697735e-03, 2.027924e+01, 2.813893e-02, -6.770510e+00, 2.081895e-03, -1.658791e-02, -2.440430e-03, 1.132087e+00, 6.176820e-03, 9.644823e-01, -2.920023e-01, -2.167172e-04, -4.489711e-01, -1.399705e-16, 3.070461e-16, -7.156492e-01, 6.071532e-17, 2.806476e-02, -3.343522e-01, 9.988461e-01, -1.935956e-03, 7.873281e-02, -1.077885e-01, -3.736600e-04, -1.237163e-01, -4.546620e+00, -2.353214e-02, 4.743106e-01, 2.433885e+00, -1.490255e-02, 2.456740e+00, 1.105121e+01, -2.203078e-03, -8.736974e-01, 2.849399e+00, 1.607260e-05, 1.386380e+00, 6.816239e+00, 1.035528e-02, -5.090681e+00, -8.143208e-01, -3.915805e-03, 1.591823e-01
21, 2.449539e-01, -8.990122e-03, 9.234091e-04, -2.421962e-03, 1.702045e-03, -1.671844e-04, 2.398423e-03, 1.564938e+01, 2.312364e-02, -5.981450e+00, 1.105483e-03, -1.657962e-02, -3.155930e-03, 2.431646e+00, 6.735226e-04, 5.363285e-01, -2.412417e-01, 5.054111e-03, -5.737596e-01, -1.470178e-16, 1.075529e-16, 2.506689e-01, 8.847090e-17, 7.233438e-03, -2.681195e-01, 8.113330e-01, -4.206639e-03, 4.381488e-02, -9.233856e-02, -1.822234e-05, -1.170660e-01, -4.425429e+00, -1.794301e-02, 5.748889e-01, 2.275240e+00, -9.987620e-04, 2.406813e+00, 8.739917e+00, -1.700869e-03, -8.778810e-01, 2.600931e+00, 5.384789e-04, 1.383184e+00, 5.736001e+00, 2.424975e-03, -3.695446e+00, -6.598674e-01, -5.680345e-03, 5.912956e-02
22, 2.848143e-01, -1.323797e-02, 1.144304e-03, -9.577329e-05, 1.321518e-03, -9.258960e-05, 2.445443e-03, 1.227559e+01, 1.946446e-02, -5.244980e+00, -1.650279e-04, -1.502464e-02, 3.427370e-03, 2.644717e+00, 7.660887e-03, 2.179022e-01, -1.688063e-01, 4.899283e-03, -5.497851e-01, -2.888044e-16, -6.505213e-17, 8.630460e-01, 6.765422e-17, -1.463452e-02, -2.230112e-01, 6.041865e-01, -5.226771e-03, 2.037107e-02, -7.497805e-02, 1.154447e-04, -9.639476e-02, -4.126885e+00, -1.495433e-02, 6.304331e-01, 2.098989e+00, 2.090662e-02, 2.207989e+00, 6.814802e+00, -1.109832e-03, -8.349405e-01, 2.328580e+00, 7.926760e-04, 1.330704e+00, 4.596050e+00, 6.909779e-03, -2.678192e+00, -4.748616e-01, -4.437898e-03, 9.075974e-03
23, 3.297231e-01, -1.417087e-02, 2.606863e-04, 1.424920e-03, 1.611582e-04, 1.045715e-04, 1.775649e-03, 9.774422e+00, 1.956134e-02, -4.527373e+00, -3.613239e-04, -1.758896e-02, -8.370880e-03, 2.332700e+00, 7.310356e-03, -6.097528e-03, -1.033573e-01, -2.008253e-03, -4.019543e-01, -2.854704e-16, -1.370432e-16, 1.190920e+00, 4.987330e-17, -1.339991e-02, -2.166558e-01, 3.955401e-01, -1.039552e-03, 1.307275e-02, -5.291106e-02, 1.523500e-03, -6.906637e-02, -3.698187e+00, -1.666840e-02, 6.541160e-01, 1.902921e+00, 3.103388e-02, 1.915999e+00, 5.258966e+00, -3.496828e-04, -7.584722e-01, 2.041206e+00, 4.980195e-04, 1.233764e+00, 3.559679e+00, 9.252740e-03, -1.918314e+00, -2.950759e-01, -1.042339e-03, -1.558768e-02
24, 3.799401e-01, -9.456941e-03, -9.437275e-04, 8.223984e-04, -4.257648e-04, -6.104149e-05, 1.045535e-03, 7.831171e+00, 1.860133e-02, -3.891461e+00, -6.156705e-04, -2.117878e-02, -9.067520e-04, 1.855485e+00, -8.797378e-03, -1.429295e-01, -5.224071e-02, -6.962959e-03, -2.169390e-01, -3.324164e-16, -4.770490e-17, 1.316255e+00, 4.206704e-17, 7.149998e-03, -2.391942e-01, 2.522205e-01, 4.852987e-03, 6.787524e-03, -2.900268e-02, -1.068344e-03, -4.245482e-02, -3.205235e+00, -1.431875e-02, 6.371536e-01, 1.691428e+00, 1.517085e-02, 1.596868e+00, 4.038751e+00, -7.272387e-04, -6.637581e-01, 1.751248e+00, 1.529578e-04, 1.103597e+00, 2.704348e+00, 2.009159e-03, -1.411259e+00, -1.412542e-01, -6.981149e-03, -7.270078e-03
25, 4.356227e-01, -6.168382e-03, -6.917170e-04, 5.031783e-04, -3.890957e-04, -2.738709e-04, 2.896502e-04, 6.245873e+00, 1.962548e-02, -3.280304e+00, 4.135618e-04, -1.954844e-02, 1.022824e-04, 1.434733e+00, -2.376580e-02, -2.153507e-01, -3.955918e-03, 1.490589e-03, -5.635441e-02, -2.120157e-16, 3.903128e-17, 1.332948e+00, -2.515349e-17, 2.054613e-02, -2.619821e-01, 1.522240e-01, 7.178582e-04, 4.324452e-03, -1.080326e-02, -7.087643e-04, -2.134093e-02, -2.702662e+00, -9.767361e-03, 5.670144e-01, 1.457796e+00, -2.634850e-03, 1.296833e+00, 3.095211e+00, -2.176616e-03, -5.625409e-01, 1.468470e+00, 2.277072e-04, 9.560068e-01, 2.041125e+00, -1.032149e-02, -1.029330e+00, -2.463021e-02, -8.091759e-04, 9.617583e-04
