#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
19, 1.790077e-01, 1.389062e+01, -1.547730e-02, 1.633080e-18, -9.878226e-01, 1.259101e-03, 1.981581e+02, 9.733519e-01, 3.928186e-01, 6.068647e+00, -2.175307e-01, -6.898952e-01, -3.783106e-05, -2.383586e-14, -2.185752e-16, 1.932505e+01, -2.312061e-17, -1.626303e-18, 3.392156e-02, 2.210756e-18, 3.642919e-17, 1.973248e-17, 2.275002e+00, 9.833702e-01, 6.246244e-01, 2.251792e+00, 5.184639e+00, -2.793910e-03, -6.868275e-01, 9.692596e-01, -6.942381e-05, 3.911898e-01, 3.272544e+00
20, 2.098103e-01, 1.441190e+01, -1.433419e-02, 4.214836e-18, -1.032382e+00, 1.387600e-03, 2.122015e+02, 9.980098e-01, 4.606789e-01, 6.120457e+00, -2.077950e-01, -6.894911e-01, -3.512550e-05, -2.475136e-14, -1.977585e-16, 1.476625e+01, -2.346281e-17, -1.767250e-17, 3.711147e-02, 1.355253e-18, 5.724587e-17, 3.816392e-17, 2.113990e+00, 9.957599e-01, 6.764846e-01, 2.243363e+00, 4.477530e+00, -1.386135e-03, -6.864327e-01, 9.938497e-01, -6.408649e-05, 4.587659e-01, 2.965073e+00
21, 2.449539e-01, 1.487211e+01, -1.305722e-02, 4.607859e-18, -1.064330e+00, 1.500815e-03, 2.250347e+02, 1.008017e+00, 5.174088e-01, 6.094511e+00, -1.941836e-01, -6.758506e-01, -9.704039e-05, -2.553318e-14, -1.249001e-16, 1.161162e+01, -1.475193e-17, -1.235990e-17, 3.382272e-02, -1.263773e-18, 4.510281e-17, 2.493665e-17, 1.956734e+00, 1.000790e+00, 7.169748e-01, 2.222742e+00, 3.836746e+00, -1.083135e-04, -6.728540e-01, 1.003903e+00, -1.192196e-04, 5.152599e-01, 2.677955e+00
22, 2.848143e-01, 1.528970e+01, -1.181943e-02, 6.559423e-18, -1.076958e+00, 1.595363e-03, 2.370723e+02, 9.996778e-01, 5.568699e-01, 5.976364e+00, -1.801996e-01, -6.510483e-01, -1.768155e-04, -2.626523e-14, -9.020562e-17, 9.441315e+00, 4.946672e-18, -9.107298e-18, 2.818391e-02, -1.731335e-18, 2.949030e-17, -5.681219e-17, 1.809411e+00, 9.967043e-01, 7.438471e-01, 2.190184e+00, 3.281190e+00, 4.508364e-04, -6.481607e-01, 9.957189e-01, -1.858006e-04, 5.545677e-01, 2.415738e+00
23, 3.297231e-01, 1.567875e+01, -1.068053e-02, 7.372575e-18, -1.066485e+00, 1.667109e-03, 2.486528e+02, 9.702132e-01, 5.755541e-01, 5.762591e+00, -1.677330e-01, -6.175950e-01, -2.375058e-04, -2.692074e-14, -9.757820e-17, 7.922166e+00, 1.643244e-17, 3.794708e-18, 3.009533e-02, -7.829973e-18, 3.317659e-17, 6.591949e-17, 1.676048e+00, 9.819674e-01, 7.562436e-01, 2.146509e+00, 2.815597e+00, -3.000707e-04, -6.148904e-01, 9.664936e-01, -2.330736e-04, 5.732022e-01, 2.177646e+00
24, 3.799401e-01, 1.604925e+01, -8.973069e-03, 6.505213e-18, -1.033188e+00, 1.711391e-03, 2.600163e+02, 9.196902e-01, 5.734915e-01, 5.469464e+00, -1.455619e-01, -5.757932e-01, 2.174531e-04, -2.758199e-14, -9.822872e-17, 6.812989e+00, 2.471981e-17, 1.203464e-17, 3.612133e-02, -1.295622e-17, 4.423545e-17, -6.938894e-18, 1.555561e+00, 9.560841e-01, 7.548912e-01, 2.094334e+00, 2.425417e+00, -1.477869e-03, -5.733286e-01, 9.162364e-01, 2.155225e-04, 5.711770e-01, 1.956415e+00
25, 4.356227e-01, 1.640594e+01, -6.839990e-03, 5.421011e-18, -9.808536e-01, 1.726301e-03, 2.712610e+02, 8.518629e-01, 5.538775e-01, 5.122429e+00, -1.132053e-01, -5.267207e-01, 3.080287e-04, -2.816269e-14, -8.326673e-17, 5.947840e+00, 2.690177e-18, 1.772671e-17, 3.461420e-02, -1.050660e-17, 4.163336e-17, -1.919038e-17, 1.445649e+00, 9.201449e-01, 7.418581e-01, 2.036316e+00, 2.094861e+00, -8.268195e-04, -5.244463e-01, 8.486500e-01, 2.832968e-04, 5.516589e-01, 1.747585e+00
26, 4.967933e-01, 1.674976e+01, -4.857041e-03, 4.336809e-18, -9.153084e-01, 1.710893e-03, 2.823711e+02, 7.719817e-01, 5.217752e-01, 4.749289e+00, -8.128405e-02, -4.706486e-01, 5.156712e-05, -2.877093e-14, -1.014813e-16, 5.226200e+00, -1.797065e-17, 1.301043e-18, 2.407338e-02, -3.130634e-18, 3.773024e-17, -8.131516e-18, 1.342311e+00, 8.759016e-01, 7.200190e-01, 1.974776e+00, 1.806272e+00, 2.458555e-04, -4.685748e-01, 7.690128e-01, 9.189742e-06, 5.196835e-01, 1.547484e+00
27, 5.633095e-01, 1.707851e+01, -3.675848e-03, 3.252607e-18, -8.433881e-01, 1.667350e-03, 2.932320e+02, 6.850609e-01, 4.825533e-01, 4.379922e+00, -6.394315e-02, -4.082409e-01, 6.976851e-05, -2.933970e-14, -3.469447e-17, 4.579306e+00, -3.310882e-17, 4.336809e-19, 5.687753e-03, 5.421011e-20, 3.057450e-17, -1.366095e-17, 1.242399e+00, 8.250861e-01, 6.923859e-01, 1.912797e+00, 1.547550e+00, -1.047198e-03, -4.064146e-01, 6.823622e-01, 2.665118e-05, 4.805904e-01, 1.355251e+00
28, 6.348400e-01, 1.738687e+01, -4.020628e-03, 1.301043e-18, -7.712371e-01, 1.600901e-03, 3.036218e+02, 5.972285e-01, 4.412396e-01, 4.037159e+00, -7.108319e-02, -3.408042e-01, -6.586077e-05, -2.984895e-14, 3.816392e-17, 3.941865e+00, -2.881267e-17, 3.089976e-18, -1.087367e-02, 4.838252e-18, 2.797242e-17, -1.062518e-17, 1.143399e+00, 7.703578e-01, 6.620417e-01, 1.853183e+00, 1.310847e+00, -1.161038e-03, -3.392385e-01, 5.948182e-01, -1.110799e-04, 4.394122e-01, 1.172539e+00
29, 7.108510e-01, 1.766464e+01, -5.291429e-03, 2.385245e-18, -7.040448e-01, 1.518069e-03, 3.131396e+02, 5.147997e-01, 4.020371e-01, 3.736098e+00, -9.428579e-02, -2.695579e-01, -1.413005e-04, -3.034595e-14, 2.081668e-17, 3.250960e+00, -1.468416e-17, 5.746272e-18, -1.656015e-02, 2.263272e-18, 1.799776e-17, -1.572093e-18, 1.044193e+00, 7.151366e-01, 6.319456e-01, 1.798312e+00, 1.093356e+00, -9.380076e-04, -2.683063e-01, 5.126130e-01, -1.759133e-04, 4.003590e-01, 1.003164e+00
30, 7.906069e-01, 1.789723e+01, -6.643190e-03, 3.252607e-18, -6.470363e-01, 1.430637e-03, 3.212175e+02, 4.448366e-01, 3.687125e-01, 3.489379e+00, -1.200953e-01, -1.950723e-01, 1.231201e-04, -3.072943e-14, 1.734723e-18, 2.463193e+00, -1.042189e-17, -3.903128e-18, -1.511421e-02, -1.423015e-18, 1.235990e-17, 9.757820e-18, 9.478958e-01, 6.647413e-01, 6.052043e-01, 1.750877e+00, 9.010928e-01, -1.406398e-03, -1.941755e-01, 4.428932e-01, 1.042554e-04, 3.671773e-01, 8.555817e-01
