#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
18, 1.521493e-01, 1.327825e+01, 8.127002e-05, 5.014435e-18, -7.857069e-01, 1.115382e-03, 1.822279e+02, 9.392729e-01, 3.194495e-01, 5.292805e+00, 2.389970e-03, -6.715626e-01, 1.022776e-04, -2.280164e-14, -6.245005e-17, 2.578150e+01, 4.648517e-18, 1.344411e-17, 1.054820e-02, 4.247023e-18, 1.333569e-17, -2.602085e-17, 2.430543e+00, 9.686152e-01, 5.648377e-01, 2.161299e+00, 5.909229e+00, 1.262975e-03, -6.708855e-01, 9.385925e-01, 1.084463e-04, 3.192066e-01, 3.583514e+00
19, 1.790077e-01, 1.388107e+01, 3.594253e-04, 4.065758e-18, -8.346171e-01, 1.255615e-03, 1.978726e+02, 9.752987e-01, 3.909928e-01, 5.383087e+00, 6.458361e-03, -6.868627e-01, 1.054095e-04, -2.383380e-14, -4.727121e-17, 1.935014e+01, -1.182458e-18, 9.324139e-18, 8.061717e-03, 5.022905e-18, 1.788934e-17, -2.504507e-17, 2.276169e+00, 9.870229e-01, 6.249058e-01, 2.163849e+00, 5.182623e+00, 1.410191e-03, -6.861532e-01, 9.746027e-01, 1.165890e-04, 3.906935e-01, 3.273959e+00
20, 2.098103e-01, 1.440280e+01, 5.476513e-04, 3.008661e-18, -8.788285e-01, 1.383497e-03, 2.119225e+02, 9.973150e-01, 4.586138e-01, 5.418496e+00, 9.330436e-03, -6.867042e-01, 7.710610e-05, -2.473596e-14, -4.640385e-17, 1.476911e+01, -3.943785e-18, 1.119439e-17, 2.006115e-03, 4.958531e-18, 2.363561e-17, -2.059984e-17, 2.115483e+00, 9.981088e-01, 6.767977e-01, 2.154521e+00, 4.476874e+00, 1.386068e-03, -6.859809e-01, 9.966227e-01, 9.275887e-05, 4.582607e-01, 2.965879e+00
21, 2.449539e-01, 1.486271e+01, 4.881801e-04, 2.873136e-18, -9.104876e-01, 1.496385e-03, 2.247431e+02, 1.005216e+00, 5.152043e-01, 5.378781e+00, 9.083161e-03, -6.732661e-01, -2.699720e-05, -2.552982e-14, -3.989864e-17, 1.159198e+01, 1.016440e-20, 2.710505e-18, -4.646576e-03, 3.137410e-18, 2.656295e-17, 1.084202e-19, 1.958851e+00, 1.002055e+00, 7.173463e-01, 2.132076e+00, 3.838575e+00, 1.781951e-03, -6.725528e-01, 1.004529e+00, -9.797102e-06, 5.148072e-01, 2.678955e+00
22, 2.848143e-01, 1.527908e+01, 1.942925e-04, 2.818926e-18, -9.230599e-01, 1.590832e-03, 2.367406e+02, 9.966130e-01, 5.545535e-01, 5.252318e+00, 4.800753e-03, -6.488288e-01, -4.558677e-05, -2.624680e-14, -5.941428e-17, 9.413904e+00, 5.468445e-18, -2.642743e-18, -8.845657e-03, 1.263773e-18, 1.637145e-17, -4.033232e-17, 1.812472e+00, 9.977485e-01, 7.442423e-01, 2.096781e+00, 3.286388e+00, 1.798303e-03, -6.481510e-01, 9.959171e-01, -3.081285e-05, 5.541291e-01, 2.418217e+00
23, 3.297231e-01, 1.566700e+01, -2.668283e-04, 4.580754e-18, -9.126452e-01, 1.662327e-03, 2.482767e+02, 9.686296e-01, 5.731496e-01, 5.039423e+00, -2.773756e-03, -6.150224e-01, -7.743186e-07, -2.692735e-14, -5.030698e-17, 7.902857e+00, 7.499630e-18, -6.396793e-18, -9.420673e-03, 1.121472e-18, 1.301043e-17, 5.074066e-17, 1.678533e+00, 9.836348e-01, 7.566235e-01, 2.050135e+00, 2.818668e+00, 1.382718e-03, -6.143996e-01, 9.679424e-01, 8.715808e-06, 5.727162e-01, 2.179663e+00
24, 3.799401e-01, 1.603677e+01, -7.053917e-04, 3.876023e-18, -8.793060e-01, 1.707016e-03, 2.596063e+02, 9.201943e-01, 5.709947e-01, 4.754172e+00, -1.073298e-02, -5.729955e-01, 9.449000e-05, -2.755977e-14, -4.857226e-17, 6.806839e+00, 2.581756e-18, -9.269929e-18, -5.082213e-03, 2.656295e-18, 1.647987e-17, 6.396793e-18, 1.557132e+00, 9.587281e-01, 7.552030e-01, 1.994474e+00, 2.425728e+00, 5.474356e-04, -5.724404e-01, 9.195425e-01, 1.004988e-04, 5.705686e-01, 1.957919e+00
25, 4.356227e-01, 1.639353e+01, -8.018595e-04, 5.339696e-18, -8.269243e-01, 1.722085e-03, 2.708427e+02, 8.532275e-01, 5.514082e-01, 4.422626e+00, -1.299044e-02, -5.238152e-01, 1.515320e-04, -2.816096e-14, -1.994932e-17, 5.958519e+00, -2.920570e-18, -1.485357e-17, -8.697023e-04, 3.469447e-18, 1.322727e-17, 3.686287e-18, 1.446324e+00, 9.231840e-01, 7.421401e-01, 1.932914e+00, 2.092816e+00, 1.035416e-04, -5.233349e-01, 8.526223e-01, 1.545932e-04, 5.510032e-01, 1.748221e+00
26, 4.967933e-01, 1.673854e+01, -8.023507e-04, 4.770490e-18, -7.615888e-01, 1.707287e-03, 2.819834e+02, 7.726786e-01, 5.194477e-01, 4.073348e+00, -1.274093e-02, -4.679032e-01, 7.002792e-05, -2.875163e-14, -1.691355e-17, 5.249273e+00, -4.828088e-18, -6.559423e-18, -8.285336e-04, 2.520770e-18, 5.746272e-18, -6.722053e-18, 1.342369e+00, 8.785183e-01, 7.203162e-01, 1.868437e+00, 1.802800e+00, 6.055120e-04, -4.674980e-01, 7.721187e-01, 7.661585e-05, 5.190741e-01, 1.546997e+00
27, 5.633095e-01, 1.706908e+01, -9.083549e-04, 3.632077e-18, -6.897027e-01, 1.664283e-03, 2.928976e+02, 6.843462e-01, 4.804788e-01, 3.729920e+00, -1.428073e-02, -4.059261e-01, 4.367553e-05, -2.930880e-14, -6.938894e-18, 4.596754e+00, -4.606165e-18, -5.095750e-18, 1.694783e-04, 2.579215e-18, 4.336809e-18, -8.348357e-18, 1.241745e+00, 8.267801e-01, 6.927757e-01, 1.803416e+00, 1.542677e+00, 1.121788e-03, -4.055955e-01, 6.838491e-01, 5.744514e-05, 4.801397e-01, 1.353333e+00
