#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
48, 1.871164e+00, 1.257707e+01, 9.029543e-04, -2.168404e-19, -7.408875e-01, 9.678150e-04, 1.647648e+02, 8.900506e-01, 2.510798e-01, 5.183607e+00, 1.205153e-02, 6.394820e-01, 4.869988e-05, -2.160707e-14, 1.309716e-16, -3.448477e+01, 1.128248e-18, -1.246832e-17, -5.179368e-03, 2.290377e-18, 1.767250e-17, 1.084202e-18, 2.564148e+00, 9.428844e-01, 5.007471e-01, 2.151925e+00, 6.576497e+00, 6.951984e-04, 6.389807e-01, 8.894070e-01, 4.795526e-05, 2.508975e-01, 3.858401e+00
49, 1.891322e+00, 1.176711e+01, 7.556306e-04, -2.778268e-19, -7.016623e-01, 8.142496e-04, 1.455503e+02, 8.232231e-01, 1.889570e-01, 5.049618e+00, 9.555924e-03, 5.876949e-01, 1.248280e-05, -2.021473e-14, 1.526557e-16, -4.575395e+01, -6.810145e-19, -1.019150e-17, -7.990576e-03, 1.090978e-18, 1.482646e-17, 6.505213e-18, 2.660428e+00, 9.067926e-01, 4.343905e-01, 2.133890e+00, 7.079481e+00, 6.550745e-04, 5.872463e-01, 8.226307e-01, 1.220560e-05, 1.888217e-01, 4.045467e+00
50, 1.908691e+00, 1.084654e+01, 6.026381e-04, 8.131516e-20, -6.706622e-01, 6.637698e-04, 1.249594e+02, 7.430122e-01, 1.365754e-01, 4.920781e+00, 7.148380e-03, 5.175360e-01, 1.133618e-07, -1.863191e-14, 1.578598e-16, -5.959850e+01, -1.175682e-18, -1.295622e-17, -8.690037e-03, 2.100642e-19, 9.947555e-18, 3.903128e-18, 2.702651e+00, 8.614809e-01, 3.692910e-01, 2.113606e+00, 7.305868e+00, 6.030778e-04, 5.171496e-01, 7.424839e-01, 5.593097e-08, 1.364787e-01, 4.092415e+00
51, 1.923614e+00, 9.827367e+00, 4.753703e-04, -3.388132e-21, -6.445856e-01, 5.246940e-04, 1.037486e+02, 6.545331e-01, 9.478203e-02, 4.805569e+00, 5.131591e-03, 4.326655e-01, 1.014256e-06, -1.689675e-14, 1.361758e-16, -7.552908e+01, -3.354250e-19, -7.047314e-18, -8.148301e-03, 1.736418e-20, 6.715277e-18, 0.000000e+00, 2.676588e+00, 8.085592e-01, 3.076286e-01, 2.094411e+00, 7.165617e+00, 4.581734e-04, 4.323478e-01, 6.540751e-01, 1.040019e-06, 9.471560e-02, 3.957204e+00
52, 1.936403e+00, 8.736973e+00, 3.771242e-04, -3.726945e-20, -6.172254e-01, 4.041391e-04, 8.296846e+01, 5.638020e-01, 6.306787e-02, 4.703788e+00, 3.541326e-03, 3.402830e-01, 4.200997e-06, -1.500113e-14, 1.153591e-16, -9.249410e+01, 3.455894e-19, -5.475221e-18, -7.318343e-03, 1.977822e-19, 3.838753e-18, -4.011548e-18, 2.574291e+00, 7.504230e-01, 2.509265e-01, 2.078321e+00, 6.628443e+00, 2.533429e-04, 3.400360e-01, 5.634135e-01, 4.262930e-06, 6.302399e-02, 3.627440e+00
53, 1.947340e+00, 7.615569e+00, 3.012771e-04, -1.236668e-19, -5.822389e-01, 3.059136e-04, 6.375196e+01, 4.756236e-01, 4.011759e-02, 4.608840e+00, 2.337136e-03, 2.499070e-01, 5.582194e-06, -1.308486e-14, 1.214306e-16, -1.090549e+02, 2.015938e-19, -8.375462e-18, -6.655983e-03, 1.410310e-19, 1.453509e-18, 1.084202e-18, 2.397714e+00, 6.892378e-01, 2.001183e-01, 2.065559e+00, 5.750485e+00, 5.691284e-05, 2.497272e-01, 4.752996e-01, 5.655885e-06, 4.008982e-02, 3.132937e+00
54, 1.956676e+00, 6.508774e+00, 2.408887e-04, -3.981055e-20, -5.357530e-01, 2.295503e-04, 4.703500e+01, 3.926396e-01, 2.428288e-02, 4.512915e+00, 1.472717e-03, 1.705586e-01, 4.869761e-06, -1.117959e-14, 9.540979e-17, -1.237956e+02, 9.410536e-19, -3.821813e-18, -6.222394e-03, 1.711007e-19, 7.691059e-19, -5.421011e-19, 2.160038e+00, 6.262206e-01, 1.556842e-01, 2.054912e+00, 4.667176e+00, -7.712080e-05, 1.704367e-01, 3.923742e-01, 4.936594e-06, 2.426612e-02, 2.541908e+00
55, 1.964632e+00, 5.458106e+00, 1.916105e-04, 3.388132e-21, -4.775692e-01, 1.714469e-04, 3.334098e+01, 3.159275e-01, 1.390047e-02, 4.412042e+00, 8.921831e-04, 1.079438e-01, 3.182342e-06, -9.374066e-15, 9.150666e-17, -1.357584e+02, 5.082198e-21, -2.602085e-18, -5.902746e-03, 2.704153e-19, -1.219727e-19, 3.252607e-18, 1.883075e+00, 5.617147e-01, 1.177833e-01, 2.044708e+00, 3.547272e+00, -1.352979e-04, 1.078671e-01, 3.157148e-01, 3.232022e-06, 1.389089e-02, 1.938439e+00
56, 1.971403e+00, 4.493672e+00, 1.511574e-04, 4.235165e-21, -4.108912e-01, 1.271723e-04, 2.272907e+01, 2.461794e-01, 7.467456e-03, 4.308477e+00, 5.255092e-04, 6.333430e-02, 1.657292e-06, -7.725293e-15, 7.936360e-17, -1.446571e+02, -8.809143e-20, -3.144186e-18, -5.594711e-03, 3.576597e-19, 9.486769e-20, 4.662069e-18, 1.591503e+00, 4.958372e-01, 8.632361e-02, 2.033859e+00, 2.533993e+00, -1.376398e-04, 6.328946e-02, 2.460139e-01, 1.688186e-06, 7.462309e-03, 1.393734e+00
57, 1.977160e+00, 3.631613e+00, 1.180723e-04, 2.795209e-20, -3.410213e-01, 9.311486e-05, 1.489855e+01, 1.843389e-01, 3.727626e-03, 4.209904e+00, 3.033928e-04, 3.444941e-02, 7.057912e-07, -6.240830e-15, 5.724587e-17, -1.507875e+02, -2.138758e-19, -2.412350e-18, -5.272356e-03, 3.906939e-19, -1.439956e-19, 1.463673e-18, 1.306807e+00, 4.290550e-01, 6.098668e-02, 2.022529e+00, 1.708607e+00, -1.127206e-04, 3.442510e-02, 1.842150e-01, 7.218533e-07, 3.725055e-03, 9.482735e-01
58, 1.982048e+00, 2.875856e+00, 9.109365e-05, 2.795209e-20, -2.734818e-01, 6.680571e-05, 9.361172e+00, 1.314610e-01, 1.705524e-03, 4.125655e+00, 1.719998e-04, 1.733085e-02, 2.371794e-07, -4.934624e-15, 4.640385e-17, -1.547596e+02, -2.380163e-19, -1.897354e-19, -4.957859e-03, 2.698859e-19, -3.100141e-19, -3.469447e-18, 1.043630e+00, 3.623219e-01, 4.125012e-02, 2.011951e+00, 1.089772e+00, -8.084026e-05, 1.731865e-02, 1.313726e-01, 2.440117e-07, 1.704347e-03, 6.114245e-01
59, 1.986197e+00, 2.221956e+00, 6.905065e-05, 1.376429e-20, -2.123936e-01, 4.657967e-05, 5.593001e+00, 8.825662e-02, 7.006006e-04, 4.062138e+00, 9.520637e-05, 7.998404e-03, 4.813989e-08, -3.814630e-15, 3.556183e-17, -1.572308e+02, 1.651714e-20, -2.168404e-19, -4.680032e-03, 2.003101e-19, -2.295459e-19, -1.246832e-18, 8.093285e-01, 2.968672e-01, 2.643695e-02, 2.003538e+00, 6.554013e-01, -5.216944e-05, 7.992782e-03, 8.819721e-02, 5.035655e-08, 7.001166e-04, 3.721493e-01
60, 1.989715e+00, 1.660925e+00, 5.093118e-05, 1.058791e-20, -1.598181e-01, 3.122469e-05, 3.125998e+00, 5.479081e-02, 2.498238e-04, 4.020433e+00, 5.058311e-05, 3.320685e-03, -9.749855e-09, -2.855734e-15, 2.753874e-17, -1.587472e+02, 2.329341e-20, 9.215718e-19, -4.453864e-03, 1.218007e-19, -1.338312e-19, -4.336809e-19, 6.056528e-01, 2.339031e-01, 1.578609e-02, 1.998016e+00, 3.670400e-01, -3.034625e-05, 3.318354e-03, 5.475389e-02, -9.336633e-09, 2.496510e-04, 2.110218e-01
61, 1.992697e+00, 1.182048e+00, 3.592425e-05, 9.740879e-21, -1.160389e-01, 1.978355e-05, 1.583273e+00, 3.046806e-02, 7.285784e-05, 3.997154e+00, 2.489733e-05, 1.189719e-03, -1.646094e-08, -2.031707e-15, 2.103352e-17, -1.596949e+02, -5.145725e-20, 6.505213e-19, -4.280208e-03, 6.854349e-20, -1.109613e-19, -2.276825e-18, 4.310172e-01, 1.744211e-01, 8.524702e-03, 1.995215e+00, 1.858911e-01, -1.559173e-05, 1.188885e-03, 3.044751e-02, -1.652395e-08, 7.280740e-05, 1.082057e-01
62, 1.995222e+00, 7.745559e-01, 2.340625e-05, -1.164670e-21, -8.020561e-02, 1.146001e-05, 6.797613e-01, 1.420938e-02, 1.545358e-05, 3.987055e+00, 1.056543e-05, 3.363464e-04, -9.188721e-09, -1.331620e-15, 1.539567e-17, -1.603183e+02, -8.046813e-20, 4.540097e-19, -4.152309e-03, 3.091670e-20, -7.072725e-20, -6.776264e-20, 2.823344e-01, 1.191131e-01, 3.925911e-03, 1.994448e+00, 7.976226e-02, -6.672792e-06, 3.361110e-04, 1.419979e-02, -9.271092e-09, 1.544287e-05, 4.698875e-02
63, 1.997361e+00, 4.284533e-01, 1.290309e-05, 4.446923e-21, -5.078610e-02, 5.575881e-06, 2.079859e-01, 4.682338e-03, 1.816470e-06, 3.985278e+00, 3.233890e-06, 6.011332e-05, -2.679474e-09, -7.363596e-16, 6.993104e-18, -1.607602e+02, -4.266928e-20, 5.658180e-19, -4.060419e-03, 1.296027e-20, -1.884648e-20, 1.497554e-18, 1.561396e-01, 6.837529e-02, 1.345941e-03, 1.994967e+00, 2.439466e-02, -2.010461e-06, 6.007129e-05, 4.679174e-03, -2.706204e-09, 1.815211e-06, 1.453783e-02
64, 1.999170e+00, 1.348334e-01, 4.052163e-06, 5.085506e-21, -2.504841e-02, 1.542294e-06, 2.059753e-02, 4.970502e-04, 5.927384e-08, 3.988789e+00, 3.235425e-07, 3.234415e-06, -2.186549e-10, -2.316254e-16, 2.493665e-18, -1.611124e+02, -1.326136e-20, 1.922765e-19, -3.942156e-03, -3.185455e-10, -8.882282e-09, -2.625802e-18, 4.913354e-02, 2.227739e-02, 2.431256e-04, 1.996333e+00, 2.415594e-03, -1.936956e-07, 3.232157e-06, 4.967140e-04, -2.207678e-10, 5.923272e-08, 1.456183e-03
