#k, z, Conve11, Conve12, Conve13, Conve22, Conve23, Conve33, Produ11, Produ12, Produ13, Produ22, Produ23, Produ33, Tdiff11, Tdiff12, Tdiff13, Tdiff22, Tdiff23, Tdiff33, Pdiff11, Pdiff12, Pdiff13, Pdiff22, Pdiff23, Pdiff33, Vdiff11, Vdiff12, Vdiff13, Vdiff22, Vdiff23, Vdiff33, Pstra11, Pstra12, Pstra13, Pstra22, Pstra23, Pstra33, Dissi11, Dissi12, Dissi13, Dissi22, Dissi23, Dissi33, B11, B12, B13, B22, B23, B33
32, 9.575304e-01, -7.748688e-04, -5.781164e-06, 1.609243e-05, -1.967902e-04, -1.568703e-05, -1.843973e-04, 4.011986e-02, -2.190002e-04, -1.724138e-01, 1.558260e-04, -9.157269e-04, 1.803294e-04, 1.060527e+00, -9.191103e-04, -5.338114e-02, 1.734398e-01, -2.132279e-03, 2.572819e-01, 1.217017e-17, 4.553649e-18, 2.094104e-01, 5.421011e-18, 3.577029e-03, -1.353190e-01, 7.889428e-02, 2.123004e-05, -1.859756e-04, 2.618756e-02, 3.234028e-05, 1.218707e-02, -3.200685e-01, 1.305366e-03, -3.610724e-02, 2.267432e-01, -5.209103e-04, 1.118915e-01, 6.337613e-01, 2.606904e-04, -2.767468e-02, 3.370348e-01, -1.803132e-04, 3.022638e-01, 2.264865e-01, -6.642346e-05, -2.501912e-02, 8.968841e-02, 2.364531e-04, -5.585765e-02
33, 1.042470e+00, -7.972816e-04, -4.312090e-05, -1.044037e-04, -1.806191e-04, -2.035290e-05, -1.722839e-04, 4.309846e-02, -3.502694e-04, 1.741156e-01, 1.599862e-04, -1.208146e-03, 4.766446e-07, 1.060563e+00, -7.795502e-04, 5.148872e-02, 1.730171e-01, -2.208742e-03, 2.569270e-01, 1.249543e-17, 1.637145e-17, -1.950572e-01, 1.951564e-17, 1.874580e-03, -1.342059e-01, 7.890713e-02, -4.863742e-05, 1.982137e-04, 2.623318e-02, 5.458289e-06, 1.229158e-02, -3.198167e-01, 5.856925e-04, 2.245537e-02, 2.268273e-01, 5.122429e-04, 1.113613e-01, 6.341122e-01, 1.641696e-04, 2.826677e-02, 3.370505e-01, -1.674058e-04, 3.023153e-01, 2.294365e-01, -7.138132e-04, 2.503837e-02, 8.936761e-02, -8.368483e-04, -5.576852e-02
34, 1.126811e+00, -7.632609e-04, -2.494280e-05, -1.357395e-04, -1.222020e-04, 8.167710e-06, -1.551028e-04, 3.609962e-01, -5.163968e-04, 5.279180e-01, 6.459739e-05, -1.851717e-03, 4.280488e-04, 1.003173e+00, -1.074306e-03, 1.458439e-01, 1.672112e-01, -6.889592e-04, 2.445885e-01, 1.188557e-17, 1.192622e-17, -5.606983e-01, 1.463673e-17, -1.736675e-03, -1.484215e-01, 6.745244e-02, 1.348100e-05, 4.443881e-04, 2.493473e-02, -4.281078e-05, 1.182117e-02, -4.347543e-01, 6.300432e-04, 5.492050e-02, 2.766089e-01, 3.378049e-03, 1.734909e-01, 7.060103e-01, -2.143116e-05, 8.533220e-02, 3.814202e-01, -1.468532e-04, 3.274277e-01, 2.916201e-01, -9.008045e-04, 8.323208e-02, 8.752135e-02, -8.034263e-04, -4.536546e-02
35, 1.209393e+00, -6.626309e-04, 2.482098e-05, -1.431445e-04, -1.219378e-04, 2.561532e-05, -1.502658e-04, 9.493141e-01, -1.483737e-03, 8.983760e-01, 4.569624e-05, -1.710479e-03, 1.328492e-04, 9.141297e-01, 7.433073e-04, 2.089684e-01, 1.539608e-01, 1.149864e-03, 2.218694e-01, 3.279712e-18, -1.116728e-17, -8.319470e-01, 9.649399e-18, -6.477951e-03, -1.734242e-01, 5.150060e-02, 5.964841e-04, 4.996213e-04, 2.234174e-02, 1.209926e-04, 1.072957e-02, -6.548341e-01, 1.027319e-03, 2.488164e-02, 3.780126e-01, 7.337118e-03, 2.875376e-01, 8.519751e-01, 7.966882e-05, 1.458744e-01, 4.690690e-01, -1.020462e-04, 3.773141e-01, 4.087978e-01, 7.788831e-04, 1.550474e-01, 8.541383e-02, 4.959751e-04, -3.031861e-02
36, 1.289149e+00, -5.977932e-04, 2.848316e-06, -1.269101e-04, -9.583468e-05, -1.696010e-06, -1.385028e-04, 1.742102e+00, -3.353403e-03, 1.298317e+00, 1.098558e-04, -2.705163e-03, 8.718431e-05, 8.316907e-01, 3.237464e-03, 2.367354e-01, 1.324943e-01, 2.227525e-03, 1.925034e-01, 9.486769e-18, -2.645453e-17, -1.006584e+00, -2.412350e-18, -7.394309e-03, -2.024480e-01, 4.289642e-02, -1.357996e-04, 2.813583e-04, 1.877300e-02, -4.481567e-05, 8.712930e-03, -9.623898e-01, 1.238508e-03, -6.692081e-02, 5.323223e-01, 8.056883e-03, 4.377149e-01, 1.079131e+00, -2.023292e-05, 2.124541e-01, 5.981161e-01, -6.434745e-05, 4.513898e-01, 5.757662e-01, 1.004153e-03, 2.495022e-01, 8.567915e-02, 2.061642e-04, -1.468095e-02
37, 1.365160e+00, -5.091265e-04, -1.611239e-05, -1.588482e-04, -1.722651e-05, -3.630173e-05, -1.463976e-04, 2.679120e+00, -4.925113e-03, 1.732638e+00, 4.442070e-05, -3.490760e-03, 8.983844e-05, 8.133093e-01, 2.480513e-03, 2.416790e-01, 1.022378e-01, 7.747525e-04, 1.572431e-01, -9.866240e-18, -1.734723e-18, -1.116805e+00, -9.974660e-18, -3.380931e-03, -2.309845e-01, 4.381028e-02, -2.654294e-04, -1.963522e-04, 1.466737e-02, -5.654767e-05, 5.777956e-03, -1.334634e+00, 1.092671e-03, -1.999770e-01, 7.326380e-01, 4.381844e-03, 6.111546e-01, 1.395288e+00, -1.744043e-05, 2.866088e-01, 7.656647e-01, -1.021243e-04, 5.489566e-01, 8.068265e-01, -1.583805e-03, 3.708892e-01, 8.394015e-02, -1.633216e-03, -5.529220e-03
38, 1.436690e+00, -5.229791e-04, -5.056153e-06, -1.929433e-04, 4.001635e-05, -1.378206e-05, -1.479908e-04, 3.726280e+00, -2.976871e-03, 2.206262e+00, 4.539489e-05, -1.160378e-03, 1.030186e-04, 8.937647e-01, -3.114822e-03, 2.402440e-01, 7.127818e-02, -1.754887e-03, 1.124899e-01, -6.464555e-17, -6.505213e-19, -1.206817e+00, 7.806256e-18, -2.497957e-03, -2.542912e-01, 6.128361e-02, 2.068184e-04, -5.652829e-04, 8.191325e-03, -8.371441e-05, 1.139648e-03, -1.751455e+00, 4.920159e-04, -3.410121e-01, 9.646728e-01, 3.333817e-03, 8.039049e-01, 1.817718e+00, 2.869563e-04, 3.695796e-01, 9.680885e-01, -1.401859e-05, 6.683234e-01, 1.112678e+00, -5.674758e-03, 5.287253e-01, 7.605926e-02, -2.135319e-03, -4.829267e-03
39, 1.503207e+00, -9.170610e-04, 1.158429e-05, -2.104640e-04, -7.016538e-05, -1.882144e-06, -1.386753e-04, 4.906729e+00, 6.917415e-04, 2.724614e+00, 4.031257e-06, 2.886479e-03, 1.443460e-04, 1.109696e+00, -2.879954e-03, 2.383075e-01, 3.651589e-02, -2.782909e-03, 4.720544e-02, -1.589711e-17, 1.561251e-17, -1.296159e+00, 4.770490e-18, -1.005039e-02, -2.683978e-01, 9.728322e-02, 1.102817e-04, -1.342864e-03, -1.029054e-03, 9.492805e-05, -7.189385e-03, -2.206549e+00, 5.734046e-04, -4.604772e-01, 1.213846e+00, 9.241656e-03, 1.025456e+00, 2.375608e+00, 8.600036e-04, 4.623382e-01, 1.203228e+00, 1.600879e-04, 8.057805e-01, 1.532468e+00, -2.376114e-03, 7.428152e-01, 4.617886e-02, -7.684371e-04, -8.422816e-03
40, 1.564377e+00, -1.183022e-03, -1.448064e-04, -2.487408e-04, -1.672451e-04, 2.428519e-06, -4.967680e-05, 6.242066e+00, 3.638559e-03, 3.285406e+00, -2.141858e-05, 6.438566e-03, 6.090219e-05, 1.472951e+00, 1.174128e-03, 2.250011e-01, -2.879758e-03, -2.763028e-04, -5.439882e-02, 6.488950e-17, 5.044251e-17, -1.364277e+00, 9.540979e-18, -1.569941e-02, -2.677292e-01, 1.524397e-01, 1.010138e-03, -3.910290e-03, -1.497131e-02, -5.971235e-05, -2.124704e-02, -2.693680e+00, 1.804995e-03, -5.510197e-01, 1.460615e+00, 1.302770e-02, 1.285756e+00, 3.103269e+00, 1.358319e-03, 5.620966e-01, 1.465791e+00, 1.190567e-04, 9.542535e-01, 2.071691e+00, 6.414308e-03, 1.029352e+00, -2.288041e-02, 3.309350e-03, -1.176194e-02
41, 1.620060e+00, -1.784855e-03, -1.826792e-04, -2.778136e-04, -1.329152e-04, -3.651420e-05, 1.284266e-04, 7.800718e+00, 6.756646e-03, 3.884116e+00, -1.305551e-05, 7.404369e-03, -1.180279e-04, 1.936740e+00, -1.063059e-03, 1.705270e-01, -5.141119e-02, -1.088629e-03, -2.092736e-01, 3.862470e-17, 6.039006e-17, -1.368389e+00, 6.310057e-17, -6.935443e-03, -2.495091e-01, 2.455448e-01, 1.308053e-04, -7.213196e-03, -3.123098e-02, 3.576557e-05, -4.246686e-02, -3.193306e+00, 3.207870e-03, -6.066362e-01, 1.693379e+00, 1.840335e-03, 1.582130e+00, 4.046901e+00, 1.258285e-03, 6.633361e-01, 1.748646e+00, 1.379974e-04, 1.101448e+00, 2.744581e+00, 7.956656e-03, 1.409346e+00, -1.377900e-01, 1.154914e-03, -2.081425e-02
42, 1.670277e+00, -2.703141e-03, 6.349543e-05, -1.881282e-04, 1.179509e-04, -3.175982e-05, 3.048129e-04, 9.722382e+00, 7.645553e-03, 4.525521e+00, 1.088394e-04, 6.691004e-03, -3.343199e-04, 2.415137e+00, -2.277425e-03, 4.206354e-02, -1.109386e-01, 2.945305e-04, -3.942506e-01, -7.402390e-17, 6.136584e-17, -1.247545e+00, 9.020562e-17, 1.180580e-02, -2.238670e-01, 3.897102e-01, -2.531450e-04, -1.259772e-02, -5.062935e-02, 4.945663e-04, -6.919595e-02, -3.678441e+00, 3.468134e-03, -6.239574e-01, 1.909813e+00, -1.698869e-02, 1.892851e+00, 5.266151e+00, 7.593409e-04, 7.584889e-01, 2.040877e+00, 2.025230e-04, 1.231373e+00, 3.585339e+00, 7.760280e-03, 1.925184e+00, -2.926410e-01, 2.126440e-03, -2.647478e-02
43, 1.715186e+00, -2.916120e-03, 1.177870e-04, 7.455520e-05, 2.074175e-04, 4.065324e-05, 4.432454e-04, 1.221939e+01, 5.983508e-03, 5.220407e+00, 2.072800e-04, 4.684188e-03, -5.176567e-04, 2.702617e+00, -3.315120e-03, -1.871443e-01, -1.867285e-01, 3.524608e-04, -5.419818e-01, -9.625005e-17, 4.336809e-18, -9.302194e-01, 1.340074e-16, 2.463303e-02, -2.178241e-01, 5.920223e-01, -1.235626e-03, -2.271111e-02, -6.787449e-02, -2.129400e-04, -9.664980e-02, -4.107160e+00, 2.234036e-03, -5.899251e-01, 2.109298e+00, -2.933020e-02, 2.179086e+00, 6.819433e+00, 4.178195e-04, 8.356029e-01, 2.330639e+00, -3.243825e-05, 1.328126e+00, 4.590350e+00, 3.131191e-03, 2.654730e+00, -4.759447e-01, 1.183299e-04, -6.456075e-03
44, 1.755046e+00, -2.249206e-03, -3.551520e-05, 4.371288e-04, 3.044078e-04, 6.717499e-05, 4.979197e-04, 1.561620e+01, 2.021789e-03, 5.972603e+00, 2.259877e-04, 1.660859e-03, -1.214902e-03, 2.425302e+00, -4.448779e-03, -5.348260e-01, -2.579100e-01, 8.534603e-04, -5.757907e-01, -8.657354e-17, 2.081668e-17, -3.336231e-01, 1.340074e-16, 2.443028e-02, -2.517751e-01, 8.168254e-01, -1.040476e-03, -4.411465e-02, -8.075888e-02, -2.126276e-04, -1.171819e-01, -4.418935e+00, 3.420718e-03, -5.104779e-01, 2.290712e+00, -2.665887e-02, 2.381313e+00, 8.751511e+00, 1.230928e-03, 8.798320e-01, 2.606265e+00, -1.228048e-04, 1.380451e+00, 5.690128e+00, -1.242161e-03, 3.669292e+00, -6.543001e-01, 1.287382e-04, 5.440119e-02
45, 1.790190e+00, -7.039431e-04, -4.155684e-05, 8.034795e-04, 4.344090e-04, 6.510830e-05, 4.388318e-04, 2.029948e+01, -6.989143e-04, 6.783472e+00, 1.820648e-04, -4.386348e-04, -2.411580e-04, 1.105919e+00, -5.664204e-04, -9.791607e-01, -2.928734e-01, 2.581514e-03, -4.606674e-01, -1.251440e-16, 2.081668e-17, 6.327260e-01, 1.413800e-16, 1.811368e-02, -3.042270e-01, 1.001917e+00, -1.344498e-04, -7.913931e-02, -1.055185e-01, -2.175557e-04, -1.233641e-01, -4.553797e+00, 3.079766e-03, -4.008645e-01, 2.462365e+00, -1.805527e-02, 2.432137e+00, 1.107001e+01, 2.580926e-03, 8.779570e-01, 2.857058e+00, -2.687058e-04, 1.384337e+00, 6.784209e+00, -8.593873e-04, 5.078273e+00, -7.933372e-01, 2.187327e-03, 1.588619e-01
46, 1.820992e+00, 1.992364e-03, 6.987029e-05, 1.243234e-03, 3.644944e-04, 4.160483e-05, 2.822382e-04, 2.660767e+01, -1.345306e-03, 7.579697e+00, 1.182287e-04, -7.360437e-04, -4.544836e-04, -1.605838e+00, 1.969479e-03, -1.437650e+00, -2.939886e-01, 2.373215e-04, -2.191569e-01, -7.081195e-17, 2.298509e-17, 2.063341e+00, 5.507747e-17, 1.228371e-02, -3.103416e-01, 9.751994e-01, -4.859217e-04, -1.360046e-01, -1.504875e-01, -3.512420e-04, -1.114951e-01, -4.506490e+00, 6.430069e-04, -2.952181e-01, 2.641445e+00, -8.534784e-03, 2.288998e+00, 1.371681e+01, 3.235654e-03, 8.238158e-01, 3.080242e+00, -3.315256e-04, 1.342035e+00, 7.751744e+00, -2.524266e-03, 6.949107e+00, -8.835191e-01, 3.188882e-03, 3.052322e-01
47, 1.847851e+00, 5.425512e-03, 1.646967e-04, 1.599289e-03, 2.599975e-04, 7.927460e-06, 6.965585e-05, 3.465111e+01, 4.203741e-04, 8.252524e+00, 1.256418e-04, 3.264743e-04, -2.539512e-04, -5.745881e+00, 2.242923e-03, -1.788460e+00, -2.678635e-01, -3.159685e-04, 6.813261e-02, -1.077155e-16, 2.732189e-17, 4.026903e+00, 3.165870e-17, 4.710321e-03, -1.873957e-01, 4.202572e-01, 1.045536e-04, -2.244136e-01, -2.284788e-01, -1.019737e-04, -8.098514e-02, -4.308760e+00, -1.438747e-03, -2.162308e-01, 2.832604e+00, 5.084271e-05, 1.957374e+00, 1.655767e+01, 4.238934e-03, 7.247462e-01, 3.267149e+00, -2.513215e-04, 1.260190e+00, 8.453625e+00, -3.074527e-03, 9.323978e+00, -9.310217e-01, 4.913090e-03, 4.966122e-01
